	L155_col_1	L155_vitro_1	L155_vitro_2	L155_vitro_3	L155_col_2	L155_col_3
cds1732	27	10	38	34	31	40
cds1733	207	14	40	53	95	237
cds1734	27	60	80	81	32	38
cds1735	195	467	532	796	78	187
cds1736	25	38	58	76	7	9
cds1737	23	194	309	341	23	24
cds1738	532	118	160	188	303	597
cds1739	45	208	266	288	26	69
cds174	42	204	487	340	19	76
cds1740	15	103	163	149	20	34
cds1741	5	0	9	14	0	0
cds1742	1	7	14	25	2	0
cds1743	42	7	14	34	42	47
cds1744	82	2281	1722	3108	39	118
cds1745	18	53	43	48	29	38
cds1746	235	211	185	313	50	277
cds1747	118	670	720	931	154	196
cds1748	2	35	18	62	8	24
cds1749	13	85	78	123	13	8
cds175	7	58	52	48	1	12
cds1750	29	178	245	229	13	26
cds1751	67	6	7	6	24	34
cds1752	228	0	0	0	76	79
cds1753	228	0	0	1	62	116
cds1754	467	6	2	1	120	307
cds1755	614	0	2	0	123	428
cds1756	54	162	207	194	54	104
cds1757	32	117	197	185	8	17
cds1758	85	679	727	1107	41	92
cds1759	18	71	35	80	4	27
cds176	15	31	95	53	3	12
cds1760	128	279	379	1088	70	270
cds1761	32	45	55	35	23	30
cds1762	141	415	295	628	154	228
cds1763	24	40	57	59	9	46
cds1764	24	3	10	10	12	11
cds1765	88	429	447	714	42	130
cds1766	19	142	196	307	30	27
cds1767	81	90	83	96	50	135
cds1768	57	12	14	32	23	45
cds1769	355	687	817	1091	246	399
cds177	26	50	162	87	14	14
cds1770	5	13	1	9	0	1
cds1771	2	77	96	118	10	39
cds1772	0	3	13	35	1	1
cds1773	137	181	274	408	98	182
cds1774	13	0	0	5	31	6
cds1775	26	55	80	138	27	20
cds1776	6	7	5	10	7	0
cds1777	3	21	31	64	1	4
cds1778	5	7	8	13	6	0
cds1779	39	174	211	282	28	48
cds178	18	18	74	60	5	12
cds1780	21	38	44	138	34	49
cds1781	12	152	155	224	29	44
cds1782	28	43	31	89	17	29
cds1783	58	556	542	764	9	49
cds1784	10	9	15	15	7	49
cds1785	47	212	155	256	15	48
cds1786	30	19	38	44	6	15
cds1787	41	17	11	13	20	55
cds1788	7	64	67	62	3	21
cds1789	60	282	307	423	24	30
cds179	88	387	522	614	96	114
cds1790	30	4	29	21	8	17
cds1791	3	0	0	0	0	0
cds1792	62	204	223	336	22	41
cds1793	26	165	173	322	10	34
cds1794	232	832	1030	1366	170	279
cds1795	373	691	888	908	289	583
cds1796	148	1142	1208	1472	157	346
cds1797	48	194	254	331	43	82
cds1798	38	125	229	299	51	114
cds1799	114	465	496	830	78	175
cds18	13	31	22	47	0	26
cds180	12	40	43	65	2	9
cds1800	31	88	95	115	15	62
cds1801	54	434	398	426	15	86
cds1802	17	222	220	251	0	22
cds1803	88	230	317	420	26	81
cds1804	45	312	324	441	32	56
cds1805	52	337	295	726	52	128
cds1806	119	461	500	764	92	196
cds1807	62	169	166	229	37	84
cds1808	57	114	141	217	81	190
cds1809	202	637	717	1104	163	298
cds181	5	42	51	43	4	40
cds1810	32	162	182	230	29	128
cds1811	77	267	322	386	41	62
cds1812	25	178	198	237	73	99
cds1813	11	114	156	132	16	5
cds1814	9	200	223	319	28	31
cds1815	13	3	9	3	2	0
cds1816	9	37	35	44	2	17
cds1817	64	100	112	105	31	100
cds1818	139	412	345	437	123	139
cds1819	45	86	28	99	19	23
cds182	20	21	25	44	12	30
cds1820	203	424	571	871	193	247
cds1821	4	0	2	0	4	2
cds1822	0	0	0	0	0	0
cds1823	22	121	112	225	28	56
cds1824	245	1151	1099	1376	297	467
cds1825	22	60	44	165	33	51
cds1826	21	7	34	79	19	25
cds1827	8	33	22	32	13	37
cds1828	129	901	833	957	83	210
cds1829	126	1132	1037	2172	130	173
cds183	8	28	14	49	4	33
cds1830	29	86	113	129	22	44
cds1831	52	129	320	208	62	166
cds1832	217	228	543	419	93	556
cds1833	30	208	225	224	35	67
cds1834	33	132	174	359	48	44
cds1835	24	99	107	230	21	16
cds1836	25	42	77	69	22	15
cds1837	300	405	415	655	147	432
cds1838	25	17	15	44	0	18
cds1839	9	5	16	26	2	10
cds184	3	81	126	163	20	37
cds1840	10	9	19	29	6	1
cds1841	26	25	55	54	18	75
cds1842	29	198	224	281	5	20
cds1843	15	16	16	11	4	15
cds1844	93	281	266	319	50	87
cds1845	52	137	201	148	18	88
cds1846	25	83	83	95	9	25
cds1847	69	131	147	94	12	72
cds1848	32	114	106	73	25	53
cds1849	75	421	387	422	15	88
cds185	280	435	433	609	138	422
cds1850	276	2052	2179	2487	64	384
cds1851	28	142	229	139	3	12
cds1852	42	154	195	270	6	51
cds1853	37	158	184	290	4	45
cds1854	13	123	163	206	0	9
cds1855	11	52	28	76	3	3
cds1856	9	436	529	735	5	26
cds1857	2	15	13	18	0	0
cds1858	13	45	65	60	34	20
cds1859	0	2	10	7	0	0
cds186	5	14	4	19	0	16
cds1860	42	139	190	280	19	31
cds1861	23	121	115	124	30	41
cds1862	17	90	59	111	10	6
cds1863	89	534	639	799	84	132
cds1864	64	142	177	338	92	155
cds1865	114	166	264	355	79	122
cds1866	5	33	58	87	7	0
cds1867	10	48	56	48	0	6
cds1868	12	148	197	238	7	11
cds1869	1444	500	592	652	543	1518
cds187	36	201	195	248	47	49
cds1870	180	35	28	36	242	350
cds1871	4	5	10	20	3	11
cds1872	454	791	695	873	235	446
cds1873	7	23	36	58	3	9
cds1874	300	1939	2092	3238	253	545
cds1875	51	151	129	164	15	43
cds1876	47	272	197	244	29	46
cds1877	178	719	786	1204	182	237
cds1878	6	76	99	101	3	7
cds1879	4	715	772	779	7	24
cds188	11	21	7	9	22	15
cds1880	30	148	238	270	6	31
cds1881	5	30	32	23	5	14
cds1882	14	8	13	14	0	13
cds1883	16	0	17	14	8	6
cds1884	35	17	45	42	25	84
cds1885	3	3	2	11	4	13
cds1886	116	1385	1471	1986	154	256
cds1887	65	2	4	7	38	82
cds1888	16	15	32	33	3	6
cds1889	31	39	31	40	6	59
cds189	0	0	0	1	0	4
cds1890	23	366	358	533	14	57
cds1891	35	221	225	391	5	49
cds1892	5	35	36	62	6	9
cds1893	15	90	102	122	4	47
cds1894	2	64	42	130	0	15
cds1895	7	21	11	29	2	3
cds1896	131	758	724	930	40	136
cds1897	33	112	139	178	14	20
cds1898	56	704	736	960	50	62
cds1899	16	155	180	189	15	12
cds19	0	0	2	0	0	2
cds190	42	486	621	517	39	136
cds1900	41	355	348	381	20	31
cds1901	16	163	142	194	21	21
cds1902	234	1794	1577	2817	187	156
cds1903	58	335	273	539	46	63
cds1904	70	469	549	620	42	64
cds1905	3	49	50	38	11	13
cds1906	5	0	0	0	0	8
cds1907	62	525	435	576	54	66
cds1908	13	56	56	63	6	6
cds1909	46	375	344	703	70	74
cds191	341	564	756	890	346	415
cds1910	157	566	649	762	71	193
cds1911	0	3	0	0	8	0
cds1912	52	242	221	354	25	61
cds1913	131	615	686	1006	119	270
cds1914	7	5	13	4	5	0
cds1915	7	14	17	23	11	20
cds1916	45	12	17	28	38	67
cds1917	24	142	167	191	13	29
cds1918	0	60	59	57	12	5
cds1919	12	0	9	39	2	31
cds192	216	74	69	102	206	378
cds1920	1	23	22	53	3	7
cds1921	162	1629	1762	2809	46	151
cds1922	68	34	23	38	107	231
cds1923	22	98	84	241	5	47
cds1924	31	48	70	109	10	15
cds1925	0	62	43	193	4	1
cds1926	511	32	8	29	478	476
cds1927	89	129	175	172	68	124
cds1928	111	248	248	296	91	106
cds1929	55	96	101	85	11	46
cds193	4	31	26	34	0	22
cds1930	30	221	204	267	36	54
cds1931	38	182	215	311	25	25
cds1932	21	199	150	202	23	14
cds1933	8	17	13	13	14	27
cds1934	24	148	128	137	15	41
cds1935	25	240	221	293	17	32
cds1936	57	63	90	191	34	64
cds1937	105	391	478	471	43	84
cds1938	184	175	210	318	101	160
cds1939	79	1084	1217	1463	72	128
cds194	32	53	64	46	0	15
cds1940	71	76	92	112	102	139
cds1941	10	1	10	10	0	10
cds1942	7	6	5	2	0	8
cds1943	4	7	0	1	8	6
cds1944	3561	392	579	569	2062	4811
cds1945	76	23	36	63	65	73
cds1946	121	2457	2381	3954	233	404
cds1947	77	501	507	514	65	119
cds1948	38	205	237	214	25	46
cds1949	23	115	120	163	17	33
cds195	41	122	107	173	52	64
cds1950	68	13	16	86	21	45
cds1951	33	560	606	760	57	101
cds1952	3	17	10	38	3	0
cds1953	8	57	48	56	7	13
cds1954	16	58	72	105	2	8
cds1955	0	0	7	1	0	8
cds1956	137	676	801	1076	91	260
cds1957	152	1138	1208	957	85	157
cds1958	109	647	866	792	56	77
cds1959	0	0	0	0	0	0
cds196	168	1648	1752	1980	158	305
cds1960	4	93	81	161	9	20
cds1961	26	52	59	90	31	46
cds1962	1	10	15	31	3	13
cds1963	83	86	121	242	45	63
cds1964	5	43	57	125	3	11
cds1965	63	74	82	147	10	54
cds1966	17	53	38	32	10	41
cds1967	38	120	229	170	33	72
cds1968	439	36	70	66	202	601
cds1969	22	29	39	45	23	28
cds197	32	230	265	460	17	30
cds1970	136	53	49	89	52	142
cds1971	12	9	15	20	8	10
cds1972	18	98	95	141	19	31
cds1973	50	0	4	3	70	79
cds1974	23	162	168	139	36	31
cds1975	9	4	6	8	1	1
cds1976	13	5	3	8	0	0
cds1977	182	222	216	223	75	197
cds1978	65	111	105	183	53	94
cds1979	106	234	311	428	98	222
cds198	178	114	123	205	44	258
cds1980	107	249	195	354	111	164
cds1981	2	5	6	25	0	7
cds1982	0	15	20	44	0	7
cds1983	5	13	8	21	1	8
cds1984	29	96	161	179	16	15
cds1985	46	47	55	76	30	28
cds1986	66	62	73	71	34	136
cds1987	7	10	8	23	0	0
cds1988	49	129	160	185	49	37
cds1989	5	0	1	3	0	3
cds199	103	99	115	115	52	135
cds1990	144	340	473	735	59	175
cds1991	11	55	71	88	0	58
cds1992	953	3823	4324	4828	847	2143
cds1993	18	94	129	144	3	44
cds1994	1041	292	379	425	555	1518
cds1995	18	60	66	62	12	0
cds1996	15	14	19	43	2	9
cds1997	0	9	4	12	3	0
cds1998	28	103	66	109	13	34
cds1999	0	42	43	79	21	8
cds2	94	303	227	362	132	116
cds20	1	47	76	20	15	9
cds200	264	856	772	1268	147	355
cds2000	77	199	210	431	54	134
cds2001	68	0	11	2	60	76
cds2002	18	31	26	39	12	23
cds2003	24	67	82	101	22	24
cds2004	19	37	58	107	8	40
cds2005	158	101	182	233	122	318
cds2006	25	223	253	296	10	75
cds2007	17	44	35	27	0	9
cds2008	6	47	78	90	2	0
cds2009	102	534	629	540	37	65
cds201	34	197	260	419	14	48
cds2010	68	116	99	124	17	38
cds2011	44	185	146	195	31	74
cds2012	27	68	50	95	70	77
cds2013	10	19	22	28	6	11
cds2014	305	1161	1699	2008	293	628
cds2015	137	168	198	302	43	123
cds2016	20	14	18	29	3	20
cds2017	33	175	155	182	8	57
cds2018	40	168	218	313	42	37
cds2019	12	6	12	11	22	4
cds202	45	272	302	415	3	80
cds2020	1	42	25	59	6	0
cds2021	40	268	241	478	34	85
cds2022	22	337	421	482	46	47
cds2023	6	70	75	125	0	0
cds2024	47	63	93	158	36	45
cds2025	91	426	431	919	31	164
cds2026	21	97	99	162	5	36
cds2027	4	7	31	34	6	13
cds2028	0	0	7	5	0	0
cds2029	24	117	142	144	5	42
cds203	0	61	51	57	3	10
cds2030	128	80	152	168	45	174
cds2031	79	178	223	306	37	234
cds2032	149	277	332	377	100	245
cds2033	27	27	44	73	28	47
cds2034	7	24	36	32	8	19
cds2035	14	154	206	307	12	6
cds2036	68	557	581	1034	30	115
cds2037	31	190	222	217	19	42
cds2038	0	0	3	0	0	0
cds2039	0	0	1	0	1	7
cds204	16	50	58	114	15	37
cds2040	13	3	39	15	0	8
cds2041	7	0	5	2	0	4
cds2042	7	10	10	8	1	1
cds2043	118	323	340	509	65	119
cds2044	125	792	756	996	86	122
cds2045	13	23	29	29	0	18
cds2046	8	60	45	41	1	16
cds2047	0	5	16	36	1	2
cds2048	0	10	5	12	0	0
cds2049	6	6	16	11	0	0
cds205	73	85	132	144	36	81
cds2050	10	9	20	32	0	1
cds2051	40	132	123	200	28	36
cds2052	0	1	0	5	14	3
cds2053	0	5	11	24	0	5
cds2054	78	579	613	599	46	76
cds2055	1413	541	626	800	993	1294
cds2056	21	110	114	124	57	50
cds2057	29	251	227	424	23	28
cds2058	37	42	64	88	46	46
cds2059	57	482	597	634	32	109
cds206	114	203	228	287	153	270
cds2060	283	317	538	465	152	537
cds2061	89	118	169	141	45	53
cds2062	42	65	65	80	36	18
cds2063	0	8	9	30	2	4
cds2064	21	11	49	31	5	19
cds2065	40	202	321	390	25	86
cds2066	1	13	18	22	0	7
cds2067	22	87	104	126	19	31
cds2068	2	26	40	22	5	17
cds2069	128	598	794	938	112	218
cds207	114	148	213	281	99	254
cds2070	173	910	1080	1041	119	247
cds2071	623	3576	4284	3844	441	797
cds2072	2448	7270	8938	8457	1348	3002
cds2073	16	74	67	134	32	3
cds2074	10	26	17	17	0	4
cds2075	4	17	22	23	0	12
cds2076	17	179	220	309	12	16
cds2077	14	6	18	13	9	13
cds2078	7	7	2	2	0	4
cds2079	24	23	11	19	7	10
cds208	28	120	89	149	38	52
cds2080	61	55	51	69	21	33
cds2081	47	59	54	157	41	17
cds2082	80	55	51	63	40	62
cds2083	2	0	1	2	0	11
cds2084	8	4	12	14	2	10
cds2085	1	0	2	9	0	10
cds2086	18	37	19	16	4	20
cds2087	8	0	4	5	5	22
cds2088	3	8	2	15	3	22
cds2089	2	0	20	13	0	6
cds209	9	80	72	147	1	8
cds2090	28	20	25	33	22	24
cds2091	0	10	3	8	15	6
cds2092	6	9	22	28	2	9
cds2093	7	4	6	20	1	22
cds2094	7	0	5	7	2	5
cds2095	69	46	52	27	54	52
cds2096	16	0	0	0	26	9
cds2097	146	0	7	12	180	338
cds2098	126	10	19	13	87	294
cds2099	100	5	15	7	30	61
cds21	0	0	0	0	0	0
cds210	64	304	268	472	28	73
cds2100	19	3	9	5	14	15
cds2101	2	10	22	35	7	0
cds2102	73	92	107	173	47	87
cds2103	7	31	35	72	0	5
cds2104	5	2	6	16	5	6
cds2105	5	1	3	4	5	8
cds2106	16	3	11	8	12	27
cds2107	16	0	13	9	18	56
cds2108	9	11	4	4	0	5
cds2109	37	25	37	61	6	46
cds211	52	154	164	181	55	98
cds2110	49	130	112	184	89	101
cds2111	14	9	25	13	0	24
cds2112	39	51	22	24	20	49
cds2113	21	597	287	52	28	64
cds2114	43	82	82	155	10	24
cds2115	0	3	21	4	1	0
cds2116	24	64	53	131	34	20
cds2117	2	71	62	114	7	11
cds2118	23	36	4	33	1	10
cds2119	13	34	47	47	12	21
cds212	33	56	56	80	8	15
cds2120	107	33	48	40	35	208
cds2121	108	514	556	520	76	88
cds2122	3	31	29	47	1	8
cds2123	2	24	12	35	6	6
cds2124	16	52	55	62	5	16
cds2125	5	28	21	36	8	12
cds2126	28	52	85	98	25	47
cds2127	2	0	1	6	14	0
cds2128	0	0	5	11	8	8
cds2129	13	0	0	2	2	0
cds213	16	29	39	45	23	17
cds2130	10	9	1	1	17	30
cds2131	150	24	35	32	111	180
cds2132	424	128	244	207	354	600
cds2133	1878	2139	1620	2120	1737	2708
cds2134	0	0	0	7	4	5
cds2135	50	28	22	69	30	67
cds2136	3	8	17	22	0	10
cds2137	1	3	2	4	0	0
cds2138	81	39	59	83	80	110
cds2139	337	525	695	1228	108	357
cds214	30	147	307	366	52	110
cds2140	19	98	123	167	6	25
cds2141	15	45	42	90	0	18
cds2142	16	115	134	276	1	14
cds2143	33	349	366	473	6	55
cds2144	55	228	294	297	37	44
cds2145	97	213	244	231	55	124
cds2146	9	171	164	312	16	23
cds2147	8	65	104	154	0	12
cds2148	352	1773	1792	2252	312	675
cds2149	1	30	15	28	9	11
cds215	18	14	63	80	0	23
cds2150	44	161	195	290	33	20
cds2151	120	316	346	468	51	142
cds2152	54	36	34	34	53	32
cds2153	43	196	209	262	78	90
cds2154	5	12	4	22	8	26
cds2155	2	0	1	4	12	17
cds2156	7	2	12	9	0	0
cds2157	2	37	15	84	0	17
cds2158	14	7	15	51	2	0
cds2159	214	891	1124	1213	136	180
cds216	336	405	599	582	182	562
cds2160	994	2660	3055	3335	889	1555
cds2161	84	113	87	131	66	97
cds2162	25	104	145	200	12	27
cds2163	5	92	125	110	2	0
cds2164	13	207	256	229	44	3
cds2165	38	243	185	354	56	79
cds2166	5	5	8	10	1	17
cds2167	14	10	2	4	5	9
cds2168	1	0	3	3	2	14
cds2169	12	99	99	112	9	37
cds217	1297	2627	2487	3119	621	1198
cds2170	31	159	282	456	44	22
cds2171	23	42	53	55	3	5
cds2172	2	0	7	18	8	1
cds2173	0	3	6	40	6	6
cds2174	29	14	3	14	16	3
cds2175	21	55	76	43	0	39
cds2176	8	7	9	14	0	0
cds2177	84	1209	1253	1080	19	90
cds2178	5	16	22	16	5	8
cds2179	5	4	17	0	0	0
cds218	27	103	101	109	14	38
cds2180	43	9	23	17	20	22
cds2181	1	28	51	21	12	14
cds2182	17	51	32	64	37	25
cds2183	12	9	23	31	1	20
cds2184	227	1013	1794	2220	143	420
cds2185	1	140	180	313	7	2
cds2186	115	1104	1462	1723	104	249
cds2187	14	13	21	24	29	35
cds2188	649	26	22	43	647	1102
cds2189	60	32	29	81	102	80
cds219	70	189	235	272	35	156
cds2190	69	21	16	32	158	132
cds2191	5	39	81	68	3	3
cds2192	4	0	0	4	0	8
cds2193	1858	3747	4048	8856	1084	1807
cds2194	58	85	92	105	24	94
cds2195	9	25	28	42	0	10
cds2196	4	2	26	17	0	12
cds2197	7	21	11	11	4	16
cds2198	1	3	7	6	7	10
cds2199	153	304	321	571	221	343
cds22	2	58	75	8	1	14
cds220	56	96	79	93	6	36
cds2200	222	57	38	91	134	185
cds2201	83	26	21	31	90	173
cds2202	145	192	245	347	78	162
cds2203	235	553	562	905	227	420
cds2204	32	471	497	1155	37	114
cds2205	5	32	46	51	13	1
cds2206	115	491	604	727	102	238
cds2207	461	948	1215	1163	315	688
cds2208	25	43	20	56	7	13
cds2209	367	936	1109	1433	164	397
cds221	17	117	174	161	24	41
cds2210	629	2143	1829	2412	580	1234
cds2211	189	470	512	784	190	372
cds2212	213	310	330	361	225	243
cds2213	24	59	85	58	27	42
cds2214	267	338	270	530	169	323
cds2215	3	12	6	18	0	0
cds2216	2	8	13	17	0	5
cds2217	9	41	66	82	11	13
cds2218	45	3	25	21	39	65
cds2219	19	2	22	6	5	16
cds222	257	137	143	178	124	273
cds2220	48	108	147	189	19	104
cds2221	17	29	42	65	19	34
cds2222	17	85	82	53	1	16
cds2223	3	25	17	51	4	4
cds2224	7	23	24	78	0	3
cds2225	12	36	9	62	1	14
cds2226	296	173	215	270	219	570
cds2227	51	715	736	1065	33	48
cds2228	45	8	0	8	43	82
cds2229	6	3	7	12	1	13
cds223	243	908	890	1221	198	300
cds2230	0	0	0	0	0	0
cds2231	5	76	44	60	5	6
cds2232	4	27	35	64	0	0
cds2233	98	216	244	407	27	113
cds2234	33	106	139	173	13	72
cds2235	8	90	84	114	5	14
cds2236	610	2658	3006	4438	374	857
cds2237	640	3590	4182	3943	371	1000
cds2238	109	34	47	76	48	154
cds2239	134	1110	1368	1398	89	177
cds224	161	141	77	110	53	96
cds2240	8	6	1	13	3	2
cds2241	8	0	0	6	0	0
cds2242	216	63	84	101	113	314
cds2243	0	13	7	29	0	2
cds2244	168	213	226	208	81	279
cds2245	255	116	176	172	130	194
cds2246	316	770	765	2341	235	409
cds2247	32	397	372	1142	53	22
cds2248	131	462	493	599	105	201
cds2249	38	90	122	129	15	25
cds225	54	20	5	28	30	38
cds2250	89	170	218	178	67	109
cds2251	39	130	133	174	11	76
cds2252	36	182	185	269	29	68
cds2253	30	139	199	211	27	33
cds2254	6	76	96	142	2	15
cds2255	6935	1167	1318	570	7503	16482
cds2256	0	0	5	0	0	0
cds2257	11	161	204	343	6	3
cds2258	18	194	241	246	25	85
cds2259	102	543	621	537	112	127
cds226	40	222	212	296	35	53
cds2260	33	294	285	440	54	98
cds2261	40	99	70	76	14	90
cds2262	13	152	104	227	21	24
cds2263	20	30	22	44	5	23
cds2264	14	186	222	220	12	18
cds2265	29	255	237	278	49	135
cds2266	186	1322	1575	1808	73	196
cds2267	27	265	197	219	8	28
cds2268	1	0	0	0	0	0
cds2269	1403	1492	1681	2448	1626	2435
cds227	127	93	109	188	46	79
cds2270	34	153	170	220	7	39
cds2271	151	211	261	388	55	178
cds2272	2	17	33	50	9	14
cds2273	29	33	30	21	47	54
cds2274	131	183	253	314	79	216
cds2275	156	144	187	336	121	239
cds2276	523	550	770	877	261	551
cds2277	7	114	148	58	2	0
cds2278	82	106	124	243	56	110
cds2279	277	470	590	757	99	332
cds228	174	676	681	897	195	224
cds2280	15	85	75	61	11	26
cds2281	10	4	7	4	0	0
cds2282	0	5	2	22	6	5
cds2283	58	186	215	389	24	68
cds2284	35	239	259	360	23	83
cds2285	587	1784	1951	3527	296	883
cds2286	142	549	638	730	84	136
cds2287	103	201	245	313	73	110
cds2288	450	33	25	31	1106	841
cds2289	8	2	0	3	0	7
cds229	8	21	34	43	8	0
cds2290	5	6	1	17	0	0
cds2291	55	157	133	221	28	92
cds2292	358	901	759	769	234	493
cds2293	36	398	482	689	24	41
cds2294	6	54	67	102	3	1
cds2295	9	9	7	20	0	18
cds2296	27	43	46	113	9	59
cds2297	93	40	69	117	41	87
cds2298	921	188	188	414	559	1600
cds2299	12	61	98	104	18	46
cds23	14	757	988	24	8	87
cds230	152	807	710	1204	259	275
cds2300	53	150	218	215	35	102
cds2301	49	88	89	113	13	51
cds2302	41	449	455	406	28	63
cds2303	36	26	41	62	2	52
cds2304	22	58	59	119	8	28
cds2305	26	12	35	19	14	17
cds2306	17	33	41	46	13	5
cds2307	9	23	7	20	14	13
cds2308	67	98	113	130	78	79
cds2309	61	225	323	387	44	48
cds231	21	95	88	108	7	5
cds2310	11	15	23	37	14	8
cds2311	4	0	0	1	3	0
cds2312	2	21	16	8	0	12
cds2313	0	1	1	5	0	0
cds2314	0	0	0	1	0	0
cds2315	0	0	1	2	0	6
cds2316	0	7	0	4	0	0
cds2317	0	0	0	2	0	7
cds2318	13	164	192	193	16	30
cds2319	0	0	6	1	0	4
cds232	5	68	109	176	2	11
cds2320	0	0	0	0	0	0
cds2321	23	47	60	96	5	43
cds2322	0	24	17	23	6	16
cds2323	75	68	68	87	49	119
cds2324	28	57	74	109	1	16
cds2325	88	311	344	412	52	165
cds2326	116	418	346	526	56	124
cds2327	10	224	226	255	18	75
cds2328	13	283	294	449	8	55
cds2329	497	1360	1722	1893	278	772
cds233	93	975	1090	1378	88	124
cds2330	125	163	141	186	64	134
cds2331	169	179	186	211	78	241
cds2332	163	198	250	270	88	290
cds2333	178	445	551	663	85	222
cds2334	1	19	29	15	3	4
cds2335	6	1	0	7	1	11
cds2336	9	19	6	8	3	15
cds2337	37	75	66	58	17	12
cds2338	183	355	494	549	100	224
cds2339	8	54	60	95	7	7
cds234	5	20	32	82	3	35
cds2340	46	86	83	124	13	38
cds2341	45	45	60	74	25	64
cds2342	2	6	2	0	0	0
cds2343	243	15	8	27	177	375
cds2344	2	3	7	17	2	8
cds2345	0	5	7	12	0	1
cds2346	45	7	13	37	6	42
cds2347	2	132	155	180	18	4
cds2348	109	881	1015	881	133	213
cds2349	8	115	156	128	9	8
cds235	50	39	82	68	29	31
cds2350	8	79	102	85	15	14
cds2351	103	772	900	766	58	111
cds2352	85	880	952	2045	155	117
cds2353	258	725	743	1117	184	277
cds2354	0	1	5	0	1	0
cds2355	54	227	263	382	11	99
cds2356	9	31	35	90	5	19
cds2357	14	43	66	79	5	17
cds2358	43	85	98	157	17	27
cds2359	118	456	430	507	113	164
cds236	584	1609	1817	2495	491	1073
cds2360	16	24	23	31	16	17
cds2361	11	23	18	20	13	0
cds2362	7	23	0	14	1	33
cds2363	17	10	25	20	10	5
cds2364	8	0	3	9	8	0
cds2365	4	0	0	4	0	0
cds2366	10	15	0	7	0	1
cds2367	10	114	150	221	8	35
cds2368	20	93	123	153	14	29
cds2369	0	19	18	38	0	13
cds237	56	157	206	296	33	67
cds2370	5	0	6	7	1	0
cds2371	46	202	278	300	39	70
cds2372	180	969	1029	1635	47	194
cds2373	63	91	100	131	34	109
cds2374	67	58	85	119	8	56
cds2375	534	69	82	60	166	414
cds2376	19	85	108	112	14	50
cds2377	29	74	82	257	60	56
cds2378	65	181	164	204	25	181
cds2379	26	80	100	147	36	122
cds238	4	95	102	203	15	16
cds2380	7	21	17	24	3	18
cds2381	376	799	1002	1098	329	691
cds2382	118	267	246	318	34	183
cds2383	163	67	73	45	133	94
cds2384	40	181	76	35	2	55
cds2385	9	41	9	43	18	5
cds2386	17	21	32	31	8	18
cds2387	0	0	0	2	0	0
cds2388	19	36	54	51	18	39
cds2389	124	363	353	769	151	161
cds239	0	10	11	12	0	0
cds2390	43	127	139	224	36	68
cds2391	85	71	86	118	91	98
cds2392	99	81	114	204	70	200
cds2393	12	0	3	6	7	2
cds2394	7	29	18	25	1	11
cds2395	38	64	105	107	15	37
cds2396	11	57	50	133	9	20
cds2397	52	525	460	781	65	132
cds2398	24	90	80	89	11	16
cds2399	15	2	9	10	6	40
cds24	5	12	27	44	4	33
cds240	20	232	199	274	9	20
cds2400	1	14	10	8	1	11
cds2401	29	98	138	166	16	30
cds2402	8	18	37	20	11	3
cds2403	11	13	36	23	32	22
cds2404	0	10	9	25	0	0
cds2405	89	620	728	909	54	115
cds2406	8	45	5	28	15	19
cds2407	89	208	320	388	68	146
cds2408	0	3	1	4	0	9
cds2409	16	78	112	127	11	10
cds241	8	25	28	20	8	1
cds2410	106	33	64	44	84	192
cds2411	29	187	224	382	22	50
cds2412	69	152	183	184	80	115
cds2413	56	85	141	163	32	84
cds2414	6	8	4	8	3	3
cds2415	6	6	1	8	0	0
cds2416	25	129	206	190	17	27
cds2417	27	181	219	214	50	38
cds2418	279	964	709	731	198	458
cds2419	27	39	67	70	24	38
cds242	3	91	97	181	12	5
cds2420	32	160	143	167	32	62
cds2421	130	214	195	324	88	265
cds2422	0	9	21	25	0	4
cds2423	37	42	41	70	34	43
cds2424	1	25	34	58	6	7
cds2425	71	109	168	228	40	84
cds2426	110	41	99	121	66	188
cds2427	19	30	30	34	3	23
cds2428	14	419	456	452	31	59
cds2429	28	230	274	307	52	46
cds243	0	66	61	90	14	3
cds2430	12	93	112	128	15	25
cds2431	100	141	189	185	35	101
cds2432	41	6	5	6	31	62
cds2433	79	751	890	1431	102	79
cds2434	149	1679	2014	3002	163	313
cds2435	13	82	100	148	7	10
cds2436	137	120	329	205	81	347
cds2437	57	143	222	138	33	136
cds2438	53	136	267	188	30	97
cds2439	19	98	159	114	24	54
cds244	2	37	41	140	0	0
cds2440	62	9	0	5	55	36
cds2441	11	50	83	104	20	29
cds2442	24	96	69	171	35	74
cds2443	1254	1628	1767	1140	600	1095
cds2444	84	111	175	152	41	104
cds2445	66	89	116	85	48	80
cds2446	2	6	0	2	0	4
cds2447	23	1	10	21	16	26
cds2448	17	5	38	27	4	37
cds2449	4	17	15	13	3	17
cds245	11	130	93	89	0	7
cds2450	18	99	99	144	2	5
cds2451	17	22	19	32	27	20
cds2452	19	22	17	38	8	39
cds2453	26	64	38	91	7	11
cds2454	5	3	7	13	9	6
cds2455	28	113	195	134	18	61
cds2456	10	234	254	239	13	24
cds2457	38	48	40	94	22	69
cds2458	5	48	97	108	1	20
cds2459	285	35	42	47	196	310
cds246	31	444	548	685	51	80
cds2460	7	9	8	17	4	11
cds2461	31	27	8	28	26	26
cds2462	5	5	0	6	2	9
cds2463	83	600	763	846	34	84
cds2464	2	120	131	142	0	16
