	L404_col_1	L404_col_2	L404_vitro_1	L404_vitro_2	L404_vitro_3	L404_col_3
cds173	97	4	7	9	9	64
cds1730	376	18	42	40	87	203
cds1731	478	46	184	199	577	430
cds1732	109	20	78	112	290	58
cds1733	156	17	105	123	308	68
cds1734	8	2	10	11	27	0
cds1735	54	7	9	12	37	13
cds1736	606	59	131	118	343	263
cds1737	44	0	30	18	69	34
cds1738	301	18	106	80	294	223
cds1739	184	17	82	68	287	80
cds174	1582	124	2683	3382	6068	2001
cds1740	67	9	66	44	81	13
cds1741	281	33	230	215	360	198
cds1742	151	3	8	10	3	110
cds1743	769	62	214	145	576	300
cds1744	1675	118	365	252	696	715
cds1745	9	1	3	6	2	1
cds1746	78	10	26	33	84	48
cds1747	30	2	14	2	17	4
cds1748	181	7	10	18	29	39
cds1749	59	6	78	72	222	41
cds175	1991	143	9470	10297	24786	376
cds1750	96	9	46	73	208	48
cds1751	93	12	50	69	206	19
cds1752	10	0	0	1	0	5
cds1753	26	2	1	0	8	32
cds1754	20	1	0	0	4	11
cds1755	8	0	1	1	8	2
cds1756	116	7	8	11	22	61
cds1757	20	1	17	24	77	10
cds1758	254	18	157	151	337	143
cds1759	879	34	16	8	21	323
cds176	428	35	4606	3973	6626	91
cds1760	0	0	0	0	0	0
cds1761	151	13	69	32	128	121
cds1762	147	12	28	25	88	80
cds1763	4	0	2	14	28	2
cds1764	1	1	0	1	0	0
cds1765	92	4	4	13	10	50
cds1766	45	10	2	2	9	20
cds1767	112	10	17	25	83	44
cds1768	121	8	26	9	15	93
cds1769	6	0	1	1	2	0
cds177	98	3	1660	1191	2183	46
cds1770	18	0	8	3	1	8
cds1771	30	0	1	1	17	12
cds1772	14	1	16	9	24	31
cds1773	9	0	3	10	13	0
cds1774	26	3	10	7	11	20
cds1775	93	4	10	20	10	56
cds1776	39	1	3	1	6	16
cds1777	136	16	46	39	118	35
cds1778	17	1	1	3	0	1
cds1779	85	12	11	6	19	57
cds178	42	9	1124	749	1522	39
cds1780	17	0	0	2	0	1
cds1781	135	9	13	5	12	74
cds1782	148	9	7	7	4	80
cds1783	138	7	5	0	14	117
cds1784	319	22	175	168	278	255
cds1785	105	10	17	29	81	56
cds1786	65	3	5	2	4	11
cds1787	62	3	10	11	24	86
cds1788	10	0	0	0	2	33
cds1789	19	4	3	5	8	29
cds179	12	0	195	142	395	1
cds1790	99	23	2	3	10	181
cds1791	680	52	0	0	0	584
cds1792	75	6	39	26	62	72
cds1793	285	28	25	51	69	228
cds1794	310	21	19	15	36	196
cds1795	81	9	7	9	36	34
cds1796	148	14	36	30	109	89
cds1797	84	8	53	33	130	17
cds1798	63	4	86	49	164	36
cds1799	28	1	63	59	131	31
cds18	61	11	9	12	46	20
cds180	20	2	191	151	369	1
cds1800	262	12	473	225	847	119
cds1801	462	46	1012	430	2108	343
cds1802	1	0	3	4	2	6
cds1803	6	3	0	2	0	1
cds1804	188	21	9	27	68	92
cds1805	13	0	3	2	5	8
cds1806	12	3	6	2	7	8
cds1807	13	0	3	1	4	0
cds1808	30	1	2	2	8	27
cds1809	12	3	3	4	7	0
cds181	268	25	1804	1939	4595	376
cds1810	170	20	19	30	131	72
cds1811	14	3	0	0	2	0
cds1812	714	31	63	72	152	307
cds1813	105	8	5	19	43	50
cds1814	103	7	7	3	10	65
cds1815	44	4	37	26	69	39
cds1816	116	3	81	75	143	39
cds1817	0	0	0	0	0	0
cds1818	205	8	63	41	140	78
cds1819	305	18	54	62	155	91
cds182	47	6	636	577	1456	44
cds1820	5	0	2	4	3	0
cds1821	44	5	36	23	64	11
cds1822	25	3	22	20	51	3
cds1823	199	12	221	193	465	117
cds1824	54	7	49	35	89	15
cds1825	237	18	161	81	185	130
cds1826	2032	131	340	411	1094	723
cds1827	243	14	76	99	233	72
cds1828	1007	79	519	421	1333	422
cds1829	10	0	1	3	4	14
cds183	11	1	142	123	414	13
cds1830	0	0	0	5	0	0
cds1831	0	1	9	2	20	22
cds1832	163	22	76	58	218	104
cds1833	137	6	37	28	74	14
cds1834	605	47	269	188	478	350
cds1835	430	24	16	7	31	168
cds1836	29	1	6	2	5	8
cds1837	186	11	12	8	19	98
cds1838	72	6	0	6	7	17
cds1839	154	6	18	26	63	40
cds184	1564	123	3443	4212	10000	1620
cds1840	711	42	43	34	141	272
cds1841	74	0	9	8	13	41
cds1842	10	0	13	15	11	4
cds1843	50	3	45	20	48	18
cds1844	1182	82	931	959	2040	443
cds1845	420	24	139	105	288	202
cds1846	441	26	67	105	263	287
cds1847	50	9	21	13	82	58
cds1848	826	87	383	222	691	374
cds1849	521	39	138	96	221	184
cds185	1275	81	3450	3953	8768	119
cds1850	325	19	99	87	196	160
cds1851	151	13	248	209	559	113
cds1852	129	13	171	174	586	91
cds1853	24	0	3	1	5	0
cds1854	6	1	13	5	27	8
cds1855	336	39	1521	744	4088	186
cds1856	242	22	864	407	1664	125
cds1857	295	26	2466	2158	6166	388
cds1858	12	1	13	6	11	0
cds1859	97	12	10	17	37	28
cds186	1006	94	5264	5653	10880	276
cds1860	38	3	26	22	57	9
cds1861	0	0	0	1	2	0
cds1862	111	20	103	104	271	47
cds1863	0	0	3	9	3	0
cds1864	53	5	141	149	508	67
cds1865	6	0	16	21	53	0
cds1866	27	4	83	90	246	20
cds1867	19	1	124	131	336	44
cds1868	11	0	123	82	260	0
cds1869	54	3	623	573	1788	42
cds187	438	39	4719	4503	7179	147
cds1870	131	8	442	587	1032	96
cds1871	980	58	1412	1790	3787	588
cds1872	342	34	103	156	271	172
cds1873	10	2	73	97	228	6
cds1874	87	9	108	152	355	51
cds1875	133	16	139	240	432	78
cds1876	33	3	68	67	177	18
cds1877	9	2	8	8	11	2
cds1878	30	4	3	3	3	0
cds1879	16	2	0	0	12	11
cds188	87	14	1161	966	1531	37
cds1880	126	14	132	160	464	111
cds1881	44	1	79	53	174	23
cds1882	0	2	2	6	17	0
cds1883	131	11	23	11	36	69
cds1884	151	12	342	292	658	152
cds1885	33	3	25	14	38	48
cds1886	24	4	29	24	60	19
cds1887	264	24	65	68	173	179
cds1888	142	3	33	42	109	39
cds1889	11	1	2	7	31	0
cds189	1677	118	4738	4902	11006	1131
cds1890	115	13	41	60	160	88
cds1891	206	6	228	150	708	185
cds1892	381	22	729	674	1634	358
cds1893	20	2	5	10	3	9
cds1894	26	0	1	8	11	19
cds1895	161	8	45	25	138	67
cds1896	486	53	221	211	595	268
cds1897	84	4	51	18	58	41
cds1898	66	1	19	33	53	41
cds1899	69	6	0	3	0	36
cds19	65	5	33	30	63	55
cds190	377	24	1640	1504	3508	48
cds1900	372	33	32	19	27	287
cds1901	267	26	88	58	195	138
cds1902	19	1	4	4	4	13
cds1903	306	17	28	35	116	88
cds1904	635	72	1923	1597	4260	586
cds1905	1553	97	36	30	41	1154
cds1906	1280	108	213	179	394	468
cds1907	264	16	138	156	453	137
cds1908	176	21	173	125	318	144
cds1909	128	7	31	28	100	111
cds191	228	15	1785	1626	3850	27
cds1910	139	5	20	15	52	50
cds1911	0	0	0	0	8	10
cds1912	2	0	0	0	4	2
cds1913	0	0	2	0	1	10
cds1914	5	0	34	35	106	4
cds1915	125	14	47	40	101	59
cds1916	285	18	87	72	237	176
cds1917	50	3	24	18	79	29
cds1918	107	7	17	15	60	50
cds1919	22	0	31	32	80	1
cds192	27	2	674	555	1235	0
cds1920	634	47	496	432	1038	339
cds1921	0	0	0	3	0	0
cds1922	6	0	0	0	0	1
cds1923	44	8	8	11	12	31
cds1924	747	56	764	670	1709	319
cds1925	1976	159	1068	1103	3394	1137
cds1926	124	7	137	176	477	82
cds1927	1356	96	480	392	1050	988
cds1928	66	5	41	64	98	24
cds1929	76	2	63	66	204	77
cds193	29	5	394	451	991	11
cds1930	88	7	14	33	100	18
cds1931	169	12	86	93	193	120
cds1932	80	4	38	53	120	48
cds1933	9	4	23	40	52	4
cds1934	80	10	902	797	2339	30
cds1935	10	0	30	27	101	16
cds1936	57	2	3	9	37	30
cds1937	73	9	71	72	267	106
cds1938	84	11	79	69	180	4
cds1939	52	2	6	12	15	9
cds194	281	33	2849	2936	7017	170
cds1940	721	45	248	242	868	273
cds1941	21	0	7	7	9	10
cds1942	673	81	347	278	469	892
cds1943	32	6	62	46	147	24
cds1944	3	1	18	25	45	12
cds1945	548	31	1011	711	2351	264
cds1946	13	0	18	15	25	3
cds1947	4	0	3	4	16	20
cds1948	33	2	5	11	42	6
cds1949	128	5	28	19	68	25
cds195	232	23	3427	3341	7207	77
cds1950	8567	630	106	102	245	4569
cds1951	114	12	235	189	591	88
cds1952	127	13	146	128	318	70
cds1953	804	57	655	472	1873	636
cds1954	581	46	1077	635	1990	97
cds1955	587	40	693	384	1491	302
cds1956	1518	115	705	699	1907	711
cds1957	364	28	369	442	1345	258
cds1958	44	5	88	64	94	96
cds1959	43	1	32	36	81	0
cds196	256	21	2726	3305	6943	239
cds1960	14	1	22	16	58	12
cds1961	648	46	470	481	1580	268
cds1962	83	4	91	81	241	34
cds1963	137	16	197	197	595	75
cds1964	179	6	11	6	17	79
cds1965	6	0	0	0	0	0
cds1966	25	2	15	9	23	16
cds1967	267	28	144	151	348	77
cds1968	431	44	1525	1530	7274	174
cds1969	358	52	4697	3706	10739	198
cds197	196	20	2200	2238	7778	133
cds1970	24	4	318	238	643	0
cds1971	33	5	651	529	1463	11
cds1972	10	2	170	176	403	5
cds1973	123	18	923	863	2607	64
cds1974	9	0	17	11	25	0
cds1975	25	4	143	152	285	50
cds1976	37	6	3	1	2	26
cds1977	344	34	37	21	53	219
cds1978	51	8	4	0	1	18
cds1979	3	1	115	136	424	4
cds198	430	34	8452	8268	18106	238
cds1980	62	3	27	46	45	39
cds1981	37	2	24	55	128	25
cds1982	1447	141	311	255	730	957
cds1983	183	18	196	219	354	180
cds1984	381	48	1322	1043	4495	246
cds1985	128	15	105	81	216	146
cds1986	85	8	669	742	1578	15
cds1987	151	16	989	1234	3057	75
cds1988	28	6	308	353	758	78
cds1989	348	41	31	34	74	208
cds199	189	18	1610	1570	4367	84
cds1990	559	40	95	66	235	361
cds1991	63	4	56	40	81	49
cds1992	8	1	42	33	94	0
cds1993	52	3	52	48	127	24
cds1994	35	3	25	11	77	32
cds1995	422	22	10	6	21	211
cds1996	1538	137	2636	2026	5739	751
cds1997	1777	147	2569	1697	3962	805
cds1998	175	16	64	90	252	57
cds1999	11289	693	1153	907	2745	4393
cds2	776	57	641	615	1783	443
cds20	506	28	36	45	113	182
cds200	230	32	5401	5526	12316	59
cds2000	365	41	327	290	579	400
cds2001	597	50	212	171	378	242
cds2002	1176	98	342	318	591	649
cds2003	503	36	314	191	857	185
cds2004	2204	168	366	230	704	1325
cds2005	1416	105	391	218	798	301
cds2006	8040	563	1194	820	2756	3848
cds2007	1651	91	481	267	797	602
cds2008	2423	171	545	447	1600	667
cds2009	97	16	24	30	82	82
cds201	148	11	3531	3505	5691	72
cds2010	3524	244	720	734	1665	1595
cds2011	131	14	220	203	353	78
cds2012	17	6	40	33	110	3
cds2013	56	4	81	82	318	39
cds2014	137	8	9	4	17	48
cds2015	24	2	2	1	1	8
cds2016	11	0	2	2	4	0
cds2017	49	5	50	39	152	45
cds2018	123	13	176	159	427	117
cds2019	13	1	1	2	0	3
cds202	141	14	22	19	66	33
cds2020	135	5	6	4	10	24
cds2021	0	0	0	0	5	9
cds2022	222	17	81	80	234	106
cds2023	61	4	9	6	5	62
cds2024	81	12	31	24	88	86
cds2025	35	10	12	4	48	0
cds2026	0	0	6	4	20	6
cds2027	4	1	1	2	35	7
cds2028	26	1	5	10	28	3
cds2029	108	2	38	23	61	62
cds203	9	1	15	11	38	20
cds2030	0	0	0	1	0	0
cds2031	11	0	9	2	18	1
cds2032	23	2	13	11	23	1
cds2033	7	3	1	2	9	6
cds2034	4	0	0	0	7	0
cds2035	8	0	2	3	7	3
cds2036	0	0	0	0	0	0
cds2037	0	0	0	0	3	0
cds2038	16	5	4	9	8	23
cds2039	11	2	2	17	23	15
cds204	94	5	97	120	352	25
cds2040	8	0	2	3	4	0
cds2041	17	0	1	0	5	9
cds2042	19	1	1	1	1	5
cds2043	41	1	12	5	23	6
cds2044	43	4	12	3	18	11
cds2045	0	0	3	0	0	2
cds2046	35	5	12	0	31	4
cds2047	6	2	1	5	11	5
cds2048	58	2	15	3	30	12
cds2049	36	0	17	19	61	8
cds205	37	0	72	50	108	25
cds2050	37	4	26	11	43	66
cds2051	27	0	6	1	19	1
cds2052	27	0	3	1	10	3
cds2053	26	0	9	7	3	19
cds2054	98	0	65	26	92	11
cds2055	66	1	10	4	63	13
cds2056	18	0	7	5	19	17
cds2057	53	1	42	19	61	21
cds2058	15	0	4	3	3	5
cds2059	10	0	2	8	11	0
cds206	235	22	53	55	246	147
cds2060	16	2	3	4	11	0
cds2061	0	0	0	0	0	0
cds2062	4	0	0	0	3	0
cds2063	18	0	5	1	2	6
cds2064	4	0	0	0	6	0
cds2065	7	2	1	2	4	6
cds2066	7	0	2	3	11	0
cds2067	18	0	2	3	3	0
cds2068	49	5	16	10	35	15
cds2069	48	0	6	10	18	17
cds207	35	5	49	68	151	24
cds2070	58	2	5	1	9	3
cds2071	197	14	54	34	146	79
cds2072	242	20	20	19	63	163
cds2073	13	0	2	4	16	0
cds2074	30	1	7	9	28	48
cds2075	0	0	0	0	0	0
cds2076	162	10	28	40	117	121
cds2077	43	2	19	13	50	13
cds2078	1165	81	168	101	221	420
cds2079	356	19	56	31	80	195
cds208	145	11	914	881	2349	98
cds2080	9	7	0	0	0	11
cds2081	0	0	1	2	3	0
cds2082	0	1	1	2	10	0
cds2083	1	1	3	0	0	0
cds2084	36	4	12	16	36	29
cds2085	52	1	22	5	45	13
cds2086	7	4	10	5	11	0
cds2087	231	31	1896	1317	2550	130
cds2088	16	2	204	153	471	3
cds2089	18	8	750	497	1538	27
cds209	65	11	277	254	886	45
cds2090	7	0	111	122	251	0
cds2091	31	2	8	19	49	12
cds2092	16	0	5	6	15	16
cds2093	270	26	818	535	1887	115
cds2094	491	37	156	154	522	126
cds2095	7	0	4	0	3	0
cds2096	5	1	2	0	16	0
cds2097	123	9	48	23	81	34
cds2098	886	97	356	274	577	512
cds2099	115	10	102	85	217	29
cds21	56	6	23	11	32	52
cds210	292	22	215	224	649	89
cds2100	79	3	57	43	88	4
cds2101	637	64	252	205	289	507
cds2102	36	8	61	101	157	36
cds2103	284	31	133	193	548	110
cds2104	337	16	7	5	23	154
cds2105	21	5	12	2	27	8
cds2106	121	9	6	24	40	60
cds2107	273	18	16	19	48	90
cds2108	1143	127	72	74	163	604
cds2109	164	11	11	6	35	25
cds211	289	26	405	432	979	208
cds2110	743	57	115	126	442	647
cds2111	1	3	1	0	2	0
cds2112	368	30	30	61	43	275
cds2113	597	42	409	340	714	350
cds2114	219	16	141	113	359	103
cds2115	228	35	193	176	561	133
cds2116	24	1	27	32	70	30
cds2117	37	17	3	4	11	25
cds2118	12	1	33	37	84	33
cds2119	385	34	537	486	1243	264
cds212	66	2	114	125	384	14
cds2120	53	9	28	39	46	3
cds2121	436	23	317	292	636	264
cds2122	982	53	72	38	132	402
cds2123	51	1	4	1	3	52
cds2124	5	0	0	0	1	0
cds2125	53	6	5	14	49	78
cds2126	62	5	8	16	37	59
cds2127	26	2	1	1	2	47
cds2128	160	17	192	225	705	71
cds2129	3689	221	300	182	384	4137
cds213	15	1	13	4	35	1
cds2130	56	2	6	18	20	56
cds2131	33	3	60	74	208	70
cds2132	1169	85	768	679	2083	351
cds2133	98	6	56	46	73	47
cds2134	15	0	6	10	6	3
cds2135	9	5	5	11	11	22
cds2136	21	0	3	8	9	15
cds2137	98	13	23	20	74	60
cds2138	1074	93	93	60	117	348
cds2139	650	31	25	36	48	317
cds214	209	13	129	109	349	80
cds2140	452	32	179	149	580	144
cds2141	244	21	3	1	4	189
cds2142	32	6	58	65	160	25
cds2143	90	9	66	69	150	56
cds2144	47	3	38	42	96	21
cds2145	32	0	24	26	47	1
cds2146	98	13	31	24	97	58
cds2147	0	0	0	0	0	0
cds2148	66	7	3	4	8	41
cds2149	98	6	14	11	38	29
cds215	204	10	158	194	363	178
cds2150	386	49	13	32	53	194
cds2151	3508	295	7117	3429	11658	1674
cds2152	552	55	133	109	258	189
cds2153	2	5	7	4	50	4
cds2154	4	0	11	9	8	0
cds2155	21	1	22	17	38	14
cds2156	211	9	56	39	166	111
cds2157	167	10	42	34	142	101
cds2158	122	4	100	48	187	35
cds2159	13	2	26	19	41	4
cds216	30	2	8	0	4	4
cds2160	263	30	103	60	227	295
cds2161	422	28	156	64	274	195
cds2162	510	33	239	117	448	165
cds2163	724	55	276	135	599	601
cds2164	2417	183	475	338	728	2442
cds2165	122	10	21	26	99	47
cds2166	8	0	0	0	3	0
cds2167	0	0	1	0	0	0
cds2168	12028	953	524	351	665	6703
cds2169	118	14	19	18	62	48
cds217	144	11	8	14	17	93
cds2170	1097	96	380	235	725	488
cds2171	232	12	25	35	105	264
cds2172	282	24	93	105	250	130
cds2173	48	4	34	42	106	63
cds2174	53	5	28	40	75	56
cds2175	136	17	63	85	224	112
cds2176	1047	76	282	126	361	388
cds2177	121	16	8	20	28	76
cds2178	2	1	22	5	35	2
cds2179	1727	131	971	943	2229	2289
cds218	371	34	1292	1308	3082	185
cds2180	8	2	35	18	124	11
cds2181	276	11	123	122	412	117
cds2182	236	19	35	28	185	42
cds2183	58	4	26	43	113	32
cds2184	8	3	5	9	48	5
cds2185	63	10	40	36	81	36
cds2186	1350	109	386	374	558	743
cds2187	4	1	17	18	28	0
cds2188	827	44	284	281	616	534
cds2189	925	58	45	29	31	572
cds219	112	6	58	45	113	95
cds2190	735	70	371	377	941	416
cds2191	159	12	6	4	14	79
cds2192	884	55	521	517	1379	327
cds2193	57	6	18	23	81	37
cds2194	39	5	25	24	58	13
cds2195	16	1	38	40	93	10
cds2196	190	15	0	2	4	185
cds2197	155	10	45	46	176	46
cds2198	34	5	32	28	74	35
cds2199	12	1	29	7	23	0
cds22	94	14	8	18	40	45
cds220	1873	157	618	636	1718	1184
cds2200	11	0	10	7	39	1
cds2201	48	4	36	11	131	33
cds2202	2	4	3	1	2	3
cds2203	38	5	15	24	67	51
cds2204	2614	233	4937	3654	7964	1220
cds2205	14	0	1	2	8	9
cds2206	168	4	1	5	3	308
cds2207	26	5	48	43	193	33
cds2208	356	24	212	207	562	172
cds2209	241	21	150	124	391	104
cds221	7	0	11	10	44	2
cds2210	103	5	76	53	106	31
cds2211	2339	173	280	333	984	881
cds2212	250	23	223	219	573	47
cds2213	200	14	96	64	159	103
cds2214	71	2	2	3	25	44
cds2215	624	52	37	38	109	257
cds2216	218	12	19	19	56	120
cds2217	497	30	13	13	31	457
cds2218	92	12	37	28	153	52
cds2219	1556	126	786	682	1788	520
cds222	12	2	20	16	75	1
cds2220	0	0	2	9	20	6
cds2221	78	6	30	35	85	43
cds2222	564	49	254	270	658	346
cds2223	37	3	152	140	346	29
cds2224	6	2	6	1	10	11
cds2225	851	59	165	132	489	298
cds2226	390	15	45	36	92	104
cds2227	392	17	123	100	305	204
cds2228	736	56	326	392	746	406
cds2229	211	20	41	59	236	85
cds223	274	14	294	257	784	133
cds2230	16	1	5	8	29	0
cds2231	35	4	21	22	74	0
cds2232	0	3	2	3	10	10
cds2233	2	0	0	0	2	0
cds2234	28	0	7	9	16	44
cds2235	7	0	11	14	19	21
cds2236	11	3	30	35	92	4
cds2237	770	57	49	36	89	567
cds2238	2084	162	101	116	268	912
cds2239	511	33	67	63	134	222
cds224	1209	88	382	418	891	409
cds2240	28	2	9	12	41	27
cds2241	401	29	67	41	105	269
cds2242	470	42	60	46	146	169
cds2243	443	30	55	71	68	230
cds2244	146	8	57	74	89	25
cds2245	339	17	256	198	433	142
cds2246	117	12	113	134	284	64
cds2247	19	0	38	28	104	6
cds2248	13	2	33	18	108	4
cds2249	324	21	308	327	849	133
cds225	2905	232	2197	2139	4719	901
cds2250	191	16	118	133	292	59
cds2251	314	22	12	13	4	175
cds2252	331	33	51	63	169	79
cds2253	89	8	118	92	192	84
cds2254	217	18	39	85	73	172
cds2255	764	52	812	778	1985	426
cds2256	147	13	62	35	148	110
cds2257	239	21	313	191	440	131
cds2258	175	22	786	844	2031	131
cds2259	519	59	800	893	2308	195
cds226	141	15	153	176	351	90
cds2260	91	4	99	74	230	30
cds2261	28	3	37	39	83	28
cds2262	0	1	0	0	0	0
cds2263	59	7	44	29	90	81
cds2264	560	57	111	96	281	468
cds2265	136	19	223	254	543	120
cds2266	4	0	2	5	29	1
cds2267	3	3	5	2	0	8
cds2268	13	0	0	2	3	11
cds2269	1	0	0	0	5	1
cds227	93	7	164	199	436	5
cds2270	0	1	2	0	1	8
cds2271	51	9	8	11	28	28
cds2272	70	5	2	9	26	68
cds2273	16	1	2	3	18	0
cds2274	3	0	1	5	11	8
cds2275	284	24	197	209	386	273
cds2276	423	42	18	26	72	289
cds2277	84	4	3	7	5	45
cds2278	341	31	404	320	597	181
cds2279	6332	414	142	157	162	2898
cds228	175	27	211	229	537	213
cds2280	198	10	34	40	40	4
cds2281	625	30	86	82	94	231
cds2282	711	85	1385	1413	2969	485
cds2283	20776	1280	236	168	153	18580
cds2284	346	30	127	68	198	229
cds2285	918	70	249	139	475	201
cds2286	6199	606	926	723	2041	4334
cds2287	2983	293	479	286	1328	1721
cds2288	4	0	30	11	61	0
cds2289	40	2	23	53	118	6
cds229	36	4	226	202	566	55
cds2290	49	6	291	215	559	25
cds2291	562	57	609	564	1568	407
cds2292	50	3	22	16	73	31
cds2293	172	11	37	58	122	47
cds2294	90	5	20	47	29	43
cds2295	82	1	0	4	7	67
cds2296	20	1	29	15	64	24
cds2297	0	0	0	0	1	0
cds2298	945	86	423	320	927	694
cds2299	30	4	23	23	94	34
cds23	0	0	0	0	7	0
cds230	36	1	6	11	43	8
cds2300	1606	140	416	388	765	2174
cds2301	105	13	13	16	313	88
cds2302	146	9	265	266	810	47
cds2303	46	3	25	30	82	23
cds2304	30	7	13	19	36	21
cds2305	355	15	7	0	3	127
cds2306	2254	139	272	267	684	811
cds2307	218	16	113	100	233	113
cds2308	5	0	5	1	2	0
cds2309	14	1	3	5	8	11
cds231	35	1	27	24	47	5
cds2310	433	46	471	266	1044	235
cds2311	319	31	337	322	946	220
cds2312	19	0	4	1	9	8
cds2313	49	4	25	17	60	9
cds2314	259	27	214	176	566	163
cds2315	37	7	23	29	48	52
cds2316	773	70	390	431	888	255
cds2317	563	72	770	778	2327	304
cds2318	42	3	14	16	72	8
cds2319	77	12	52	59	108	127
cds232	213	18	171	185	415	44
cds2320	51	8	8	13	23	31
cds2321	28	4	3	2	4	6
cds2322	54	2	8	7	18	31
cds2323	78	8	30	19	35	14
cds2324	19	5	25	21	58	60
cds2325	88	5	21	16	44	88
cds2326	90	5	33	28	138	27
cds2327	233	36	381	396	888	167
cds2328	195	17	23	32	59	40
cds2329	44	3	21	20	89	18
cds233	130	9	93	104	343	74
cds2330	164	17	110	129	217	117
cds2331	7	3	1	0	7	0
cds2332	79	11	37	26	68	47
cds2333	22	3	4	2	10	10
cds2334	338	29	48	37	122	143
cds2335	35	8	55	70	92	37
cds2336	379	27	318	338	647	121
cds2337	8	0	0	4	10	0
cds2338	3	1	0	0	4	3
cds2339	3	2	0	1	0	0
cds234	31	5	32	22	64	16
cds2340	144	16	152	139	280	103
cds2341	340	40	168	157	562	135
cds2342	54	4	26	14	30	36
cds2343	153	1	27	14	23	66
cds2344	45	1	7	13	29	42
cds2345	153	13	16	9	19	31
cds2346	154	21	14	13	52	78
cds2347	69	2	4	11	31	14
cds2348	109	6	10	13	26	46
cds2349	238	7	10	7	17	55
cds235	26	3	50	56	145	23
cds2350	315	26	10	6	12	78
cds2351	268	29	15	17	17	74
cds2352	102	7	14	19	64	75
cds2353	76	11	38	34	52	31
cds2354	2	0	3	5	12	0
cds2355	94	8	25	15	50	33
cds2356	132	4	28	26	85	54
cds2357	50	2	16	23	27	23
cds2358	73	6	8	8	6	17
cds2359	0	0	0	0	0	0
cds236	452	38	228	264	815	175
cds2360	293	11	44	62	106	64
cds2361	172	11	22	39	137	65
cds2362	213	24	33	36	58	108
cds2363	101	8	43	14	109	28
cds2364	13	5	7	9	48	24
cds2365	72	10	11	17	44	37
cds2366	87	1	14	14	48	16
cds2367	34	4	7	11	25	8
cds2368	84	11	8	8	20	58
cds2369	17	0	11	7	4	5
cds237	25	1	58	50	96	26
cds2370	20	5	1	2	15	8
cds2371	332	26	7	5	21	102
cds2372	61	5	1	6	20	30
cds2373	174	17	0	3	10	67
cds2374	127	9	3	8	17	90
cds2375	29	1	0	3	19	24
cds2376	0	0	0	0	2	0
cds2377	356	7	38	42	88	199
cds2378	80	3	14	30	26	13
cds2379	50	4	3	11	23	33
cds238	154	8	406	320	652	6
cds2380	561	23	42	35	86	99
cds2381	411	29	35	63	74	76
cds2382	299	17	23	42	65	106
cds2383	45	6	8	9	19	22
cds2384	151	10	3	8	6	72
cds2385	114	5	0	5	29	15
cds2386	0	0	0	3	0	1
cds2387	9	0	4	1	4	8
cds2388	72	2	76	43	64	49
cds2389	16	3	2	3	5	9
cds239	610	55	1343	1391	3300	197
cds2390	0	0	0	0	0	0
cds2391	51	5	5	6	25	29
cds2392	28	1	1	4	5	7
cds2393	62	2	0	5	8	20
cds2394	81	4	24	28	88	50
cds2395	17	0	11	10	15	0
cds2396	161	12	14	41	80	90
cds2397	26	1	5	2	2	12
cds2398	16	1	3	0	4	0
cds2399	134	7	13	6	14	61
cds24	12	3	1	3	6	26
cds240	12	6	108	94	215	17
cds2400	203	13	4	7	21	47
cds2401	116	13	16	8	23	34
cds2402	18	1	0	2	1	1
cds2403	1087	71	89	144	235	577
cds2404	228	22	13	13	29	74
cds2405	7	0	0	0	0	0
cds2406	2	1	0	1	0	0
cds2407	359	34	35	32	119	200
cds2408	129	12	16	6	15	96
cds2409	153	12	4	7	19	51
cds241	196	12	108	128	392	85
cds2410	113	6	6	2	14	49
cds2411	125	2	6	2	28	20
cds2412	132	12	11	6	21	107
cds2413	244	11	25	31	156	128
cds2414	696	40	55	43	87	337
cds2415	4	0	0	0	0	0
cds2416	4	0	1	2	6	6
cds2417	25	0	6	6	28	14
cds2418	23	2	2	3	3	11
cds2419	98	8	3	9	15	25
cds242	1180	65	130	94	424	523
cds2420	142	7	7	9	37	69
cds2421	156	18	157	178	376	79
cds2422	2	0	0	0	0	0
cds2423	24	1	59	63	102	10
cds2424	133	22	1222	1391	3082	114
cds2425	1	0	1	0	2	0
cds2426	4	0	0	0	0	0
cds2427	475	46	4	17	35	127
cds2428	30	4	0	3	4	0
cds2429	71	6	0	3	7	50
cds243	47	3	21	8	56	22
cds2430	30	4	9	13	26	11
cds2431	11	0	0	10	10	2
cds2432	194	12	13	26	26	68
cds2433	54	3	1	5	14	2
cds2434	0	0	1	0	0	0
cds2435	63	0	3	7	4	39
cds2436	173	8	8	5	36	74
cds2437	16	2	0	1	1	5
cds2438	0	0	5	0	0	0
cds2439	1	0	2	2	10	3
cds244	108	3	51	42	143	43
cds2440	0	0	0	0	0	0
cds2441	8	1	0	2	0	0
cds2442	13	0	1	4	8	4
cds2443	4	0	4	5	0	5
cds2444	0	0	1	0	0	0
cds2445	101	11	11	22	13	31
cds2446	217	7	30	25	89	201
cds2447	31	3	17	19	32	32
cds2448	677	58	357	347	1209	454
cds2449	372	20	127	117	409	90
cds245	527	36	76	73	262	63
cds2450	133	9	68	61	198	77
cds2451	108	2	177	131	516	30
cds2452	92	7	165	158	421	40
cds2453	210	12	133	101	332	121
cds2454	1956	145	257	326	576	634
cds2455	1408	94	175	214	305	409
cds2456	1723	145	1099	1086	2806	798
cds2457	57	5	42	34	135	21
cds2458	147	8	189	191	579	118
