	L130_vitro_1	L130_vitro_2	L130_col_1	L130_col_2	L130_vitro_3	L130_col_3
cds1732	3382	2784	2705	2303	2461	2287
cds1733	288	339	3459	2539	174	3360
cds1734	14	19	56	48	22	45
cds1735	16	10	57	34	5	23
cds1736	1203	936	284	319	1602	322
cds1737	235	122	48	85	176	78
cds1738	62	23	24	6	55	2
cds1739	534	233	181	124	351	217
cds174	798	2230	282	250	1973	490
cds1740	4146	4030	766	637	7492	910
cds1741	114	83	201	83	182	325
cds1742	72	47	119	48	55	97
cds1743	555	355	174	107	422	131
cds1744	7998	9050	12288	10035	9616	11484
cds1745	0	0	12	14	3	0
cds1746	2	3	5	2	0	7
cds1747	216	79	75	32	64	72
cds1748	58	26	17	18	34	35
cds1749	25	7	27	3	7	24
cds175	77	41	402	354	29	649
cds1750	5227	4350	2793	3918	5060	2899
cds1751	161	63	215	156	46	358
cds1752	269	120	181	94	185	283
cds1753	85	35	45	62	34	31
cds1754	66	61	92	77	95	65
cds1755	108	56	21	0	140	56
cds1756	84	39	29	23	41	56
cds1757	35	19	104	48	13	66
cds1758	25	39	147	90	31	34
cds1759	125	63	198	300	39	194
cds176	31	14	65	78	38	26
cds1760	100	57	95	45	124	125
cds1761	185	338	78	79	280	92
cds1762	147	47	68	25	63	47
cds1763	3141	3402	2975	2324	3530	3451
cds1764	12	12	14	23	25	19
cds1765	40	44	31	27	59	10
cds1766	309	246	263	160	358	455
cds1767	29	40	251	192	26	133
cds1768	9	5	2	0	2	0
cds1769	87	52	176	126	49	183
cds177	1077	357	928	852	609	1770
cds1770	68	41	35	13	28	34
cds1771	77	32	108	23	36	62
cds1772	17	2	16	11	1	8
cds1773	12	2	30	36	10	2
cds1774	17	1	20	16	7	0
cds1775	39	2	46	0	7	66
cds1776	0	0	7	4	1	1
cds1777	69	51	70	18	56	23
cds1778	24	5	8	8	8	17
cds1779	72	26	34	7	14	2
cds178	47	13	45	16	21	39
cds1780	13	15	40	4	14	8
cds1781	0	0	32	17	0	1
cds1782	0	0	26	0	0	0
cds1783	3	0	12	0	0	0
cds1784	6	0	0	0	1	5
cds1785	0	0	8	1	0	25
cds1786	11	6	49	0	11	22
cds1787	0	0	41	29	2	10
cds1788	0	4	19	22	3	7
cds1789	2	0	7	5	1	0
cds179	19	8	72	111	11	233
cds1790	698	272	865	759	289	948
cds1791	555	364	158	113	1101	166
cds1792	50	45	76	88	71	124
cds1793	127	84	184	59	87	119
cds1794	255	117	142	100	142	89
cds1795	3065	2209	386	469	5228	1481
cds1796	70	52	44	27	65	46
cds1797	32	12	12	0	27	39
cds1798	78	88	108	76	114	73
cds1799	1845	910	755	461	949	1187
cds18	89	28	7	10	44	4
cds180	3	0	10	10	3	10
cds1800	153	76	99	51	193	18
cds1801	417	442	804	715	512	891
cds1802	99	72	52	31	76	90
cds1803	9	0	0	3	4	5
cds1804	111	94	440	331	116	334
cds1805	1304	1310	879	566	1378	422
cds1806	19	27	31	52	31	0
cds1807	159	64	178	154	105	183
cds1808	202	167	184	230	208	296
cds1809	141	136	171	82	127	229
cds181	24	22	10	0	12	21
cds1810	2449	2320	814	565	3369	806
cds1811	32	12	31	25	23	48
cds1812	1387	642	334	297	700	506
cds1813	295	110	80	60	144	142
cds1814	92	72	148	71	143	141
cds1815	56	102	75	24	184	14
cds1816	103	83	144	106	159	47
cds1817	29	37	50	19	69	8
cds1818	1688	380	90	34	517	103
cds1819	32852	7819	255	129	7228	890
cds182	888	445	875	556	432	1105
cds1820	115	36	106	114	42	487
cds1821	874	341	103	43	499	113
cds1822	1799	1648	303	323	1923	306
cds1823	2013	1388	1325	1421	3355	1660
cds1824	130	97	129	226	174	479
cds1825	19	8	5	13	16	0
cds1826	0	0	26	8	2	9
cds1827	1859	1664	867	1452	1370	1337
cds1828	1406	998	249	266	806	218
cds1829	159	90	254	153	78	235
cds183	86	66	45	31	93	51
cds1830	516	199	162	121	179	93
cds1831	441	306	340	169	780	348
cds1832	47	15	21	32	17	45
cds1833	56	38	115	139	27	239
cds1834	260	253	102	32	251	84
cds1835	33	18	40	36	14	23
cds1836	68	27	299	196	17	384
cds1837	452	263	569	455	254	462
cds1838	8	13	22	0	12	17
cds1839	175	180	169	177	210	162
cds184	224	164	58	61	171	89
cds1840	684	488	628	467	662	610
cds1841	24	7	24	0	17	1
cds1842	128	64	124	87	130	134
cds1843	223	98	198	358	193	684
cds1844	84	43	211	104	89	93
cds1845	955	421	411	227	304	589
cds1846	128	109	60	112	151	63
cds1847	10203	7209	1417	1264	10108	1995
cds1848	90	79	78	65	134	102
cds1849	502	468	389	341	820	463
cds185	78	59	78	53	110	34
cds1850	158	122	351	325	147	489
cds1851	362	296	98	281	336	265
cds1852	106	71	119	60	150	80
cds1853	32	8	251	180	7	155
cds1854	155	77	3980	2502	59	2276
cds1855	23	10	172	66	13	67
cds1856	174	76	508	379	102	396
cds1857	50	16	71	40	16	107
cds1858	204	110	535	413	106	641
cds1859	437	144	574	351	161	474
cds186	28	23	120	66	49	11
cds1860	127	70	277	203	77	249
cds1861	527	411	608	416	368	1755
cds1862	42	47	71	21	57	65
cds1863	36	47	32	44	60	29
cds1864	16	6	26	36	27	22
cds1865	33	55	56	35	56	18
cds1866	204	204	105	124	360	95
cds1867	8	2	3	0	5	0
cds1868	77	24	61	58	34	88
cds1869	9990	19134	2032	1795	18985	2262
cds187	278	164	225	110	312	496
cds1870	180	23	48	21	44	29
cds1871	45	74	399	390	64	823
cds1872	521	104	216	156	188	261
cds1873	525	270	505	465	301	944
cds1874	78	19	162	89	29	125
cds1875	4	14	53	6	19	77
cds1876	663	839	410	303	1379	420
cds1877	59	30	68	38	25	86
cds1878	67	32	94	46	48	186
cds1879	0	0	3	14	0	17
cds188	108	77	309	244	95	240
cds1880	55	44	36	21	54	65
cds1881	35	59	33	0	45	21
cds1882	127	110	74	19	97	40
cds1883	6	0	16	6	6	10
cds1884	10	10	6	0	9	10
cds1885	265	122	117	42	146	86
cds1886	14	12	32	15	17	22
cds1887	8	3	0	0	3	3
cds1888	301	199	121	53	318	35
cds1889	276	161	100	88	467	172
cds189	30	21	219	151	97	233
cds1890	99	53	165	59	29	96
cds1891	72	6	23	6	25	17
cds1892	516	387	472	509	330	741
cds1893	274	271	227	177	286	232
cds1894	1	2	10	28	4	6
cds1895	17	8	30	19	2	0
cds1896	119	70	61	95	111	64
cds1897	52	32	58	13	38	69
cds1898	148	30	2204	1916	56	2261
cds1899	16	16	2783	3148	12	1592
cds19	516	317	1361	938	455	1897
cds190	65	112	16	12	213	31
cds1900	0	7	392	614	4	115
cds1901	6	5	297	389	16	173
cds1902	73	44	369	319	60	198
cds1903	132	86	292	456	134	315
cds1904	64	201	982	867	534	561
cds1905	420	386	111	99	786	115
cds1906	466	385	101	132	424	100
cds1907	650	583	119	159	506	209
cds1908	20	31	74	67	47	178
cds1909	25	18	33	26	11	71
cds191	75	31	196	150	34	148
cds1910	28	28	26	34	53	89
cds1911	53	21	146	98	51	151
cds1912	69	17	85	80	23	39
cds1913	10	1	45	23	2	10
cds1914	9	1	7	0	2	3
cds1915	1	1	6	0	3	12
cds1916	26	12	39	22	12	46
cds1917	21	7	19	5	22	57
cds1918	327	178	1131	662	207	1021
cds1919	11	0	48	32	2	28
cds192	0	0	23	0	0	1
cds1920	10	7	46	26	9	0
cds1921	861	990	266	281	1746	266
cds1922	410	254	247	132	232	349
cds1923	284	120	102	96	131	209
cds1924	152	99	143	56	159	119
cds1925	128	52	41	11	74	26
cds1926	379	254	242	245	325	330
cds1927	146	73	27	30	100	77
cds1928	47	42	55	30	57	15
cds1929	274	156	388	260	248	264
cds193	49	19	24	33	24	13
cds1930	804	767	618	535	934	627
cds1931	288	444	335	371	610	687
cds1932	0	0	14	11	0	20
cds1933	632	569	268	326	1044	253
cds1934	285	175	393	439	244	423
cds1935	2278	487	1671	1275	564	2665
cds1936	216	28	83	50	56	85
cds1937	105	30	41	62	63	78
cds1938	254	76	505	390	108	357
cds1939	340	72	547	470	143	547
cds194	13	9	24	0	2	0
cds1940	61	24	76	47	30	56
cds1941	546	315	330	238	423	378
cds1942	471	300	191	137	752	269
cds1943	197	163	14	26	235	41
cds1944	31	25	62	9	71	40
cds1945	80	92	52	68	214	61
cds1946	427	255	172	111	315	363
cds1947	18	7	50	25	14	33
cds1948	10	30	49	18	27	30
cds1949	241	238	128	110	294	111
cds195	278	335	705	415	282	378
cds1950	13	7	62	22	9	11
cds1951	7	13	19	7	19	15
cds1952	6645	1668	3244	2280	1544	5486
cds1953	289	198	206	112	312	163
cds1954	471	219	367	311	157	388
cds1955	106	54	74	35	35	50
cds1956	133	90	171	139	57	102
cds1957	94	92	313	230	80	199
cds1958	609	632	197	144	970	267
cds1959	2	0	60	0	0	3
cds196	7	10	19	11	11	29
cds1960	25	12	82	61	26	34
cds1961	1895	1518	246	240	1842	674
cds1962	4914	3430	980	921	4159	664
cds1963	29	18	62	92	33	108
cds1964	19	6	0	0	11	4
cds1965	12	0	21	0	0	0
cds1966	17	15	11	34	64	24
cds1967	435	521	233	125	518	165
cds1968	127	110	55	78	124	149
cds1969	507	259	333	305	306	387
cds197	30	2	29	9	15	21
cds1970	215	122	111	41	135	161
cds1971	6841	5534	8325	5591	3980	5811
cds1972	6	11	23	1	36	4
cds1973	33	28	39	11	28	69
cds1974	5	2	25	15	0	7
cds1975	26	14	111	71	15	39
cds1976	28	22	42	0	24	29
cds1977	175	132	32	29	227	26
cds1978	224	140	136	90	213	89
cds1979	4	3	33	8	4	0
cds198	173	66	27	25	50	64
cds1980	2	2	18	35	2	9
cds1981	0	0	19	0	7	0
cds1982	172	79	52	5	141	55
cds1983	0	0	4	10	4	0
cds1984	4	2	17	3	6	6
cds1985	0	0	0	12	0	0
cds1986	3	12	31	33	6	50
cds1987	5	3	19	12	2	1
cds1988	14	5	11	18	7	34
cds1989	0	0	1	0	1	11
cds199	1030	653	1724	1486	555	1091
cds1990	14	7	56	29	12	15
cds1991	595	380	1133	1005	516	862
cds1992	52	41	762	494	32	444
cds1993	5	3	23	16	3	18
cds1994	5	0	0	0	1	3
cds1995	5	7	25	41	4	46
cds1996	5	2	12	15	7	25
cds1997	16	23	138	145	40	367
cds1998	20	13	28	22	30	46
cds1999	101	78	18	8	199	64
cds2	48	11	158	92	43	194
cds20	21	35	43	38	36	20
cds200	671	685	718	513	976	730
cds2000	0	1	0	0	0	0
cds2001	126	57	74	34	84	81
cds2002	4909	3698	5038	3953	2942	6057
cds2003	7	3	60	0	9	6
cds2004	100	69	236	229	88	118
cds2005	2	1	28	21	1	29
cds2006	378	358	207	185	438	295
cds2007	0	0	2	10	0	0
cds2008	3317	2501	238	246	3574	626
cds2009	956	610	66	62	779	105
cds201	53	43	136	161	58	102
cds2010	6199	4752	784	358	5495	639
cds2011	48	17	124	135	34	175
cds2012	28	19	111	64	19	156
cds2013	1904	2688	595	542	4144	655
cds2014	146	67	279	174	68	357
cds2015	158	62	146	49	54	66
cds2016	1363	938	977	879	713	1173
cds2017	298	248	223	177	404	321
cds2018	3	7	44	8	15	29
cds2019	527	647	321	395	818	391
cds202	8	7	11	40	9	17
cds2020	9	0	66	45	0	0
cds2021	5	7	28	0	0	8
cds2022	5	5	8	6	3	20
cds2023	16	3	34	32	8	52
cds2024	13434	7517	1214	1270	7270	2152
cds2025	3580	1405	96	93	1635	101
cds2026	198	116	197	94	161	198
cds2027	15	4	27	0	11	1
cds2028	208	170	343	248	155	486
cds2029	3259	3990	896	804	7742	1177
cds203	23	4	37	15	19	3
cds2030	3381	3618	190	173	8201	266
cds2031	114	67	52	17	171	26
cds2032	17	2	14	17	9	6
cds2033	124	61	209	131	66	259
cds2034	21	4	69	10	20	46
cds2035	181	45	107	84	98	161
cds2036	81	56	52	31	48	61
cds2037	156	108	125	48	105	132
cds2038	696	2051	390	414	3665	228
cds2039	470	335	1750	1234	241	981
cds204	23	15	84	25	22	43
cds2040	92	26	60	110	72	31
cds2041	24	15	0	0	25	4
cds2042	59	71	97	44	93	109
cds2043	50	38	112	66	81	107
cds2044	18	12	29	15	20	42
cds2045	489	330	331	219	247	236
cds2046	12	8	29	0	15	30
cds2047	50	14	57	18	31	9
cds2048	181	82	232	140	98	680
cds2049	323	357	252	206	397	381
cds205	54	36	61	48	35	11
cds2050	172	160	58	27	225	36
cds2051	169	67	101	57	87	56
cds2052	23	5	18	0	12	0
cds2053	2593	2091	669	784	4310	1996
cds2054	82	37	12	13	198	84
cds2055	119	75	90	48	56	82
cds2056	473	483	270	331	526	307
cds2057	176	158	85	55	148	233
cds2058	57	48	124	62	48	35
cds2059	15	18	54	13	6	5
cds206	36	21	20	23	41	51
cds2060	47	43	75	34	15	16
cds2061	81	38	132	45	31	29
cds2062	21	15	33	23	16	9
cds2063	34	24	46	24	11	26
cds2064	9	3	12	11	5	0
cds2065	7	4	10	14	4	36
cds2066	13	0	53	37	3	10
cds2067	39	19	71	34	20	123
cds2068	16	6	22	5	16	76
cds2069	7	5	28	41	4	36
cds207	667	160	110	82	213	63
cds2070	49	20	25	71	42	130
cds2071	29	27	62	11	11	27
cds2072	94	51	83	76	82	133
cds2073	42	26	45	18	29	64
cds2074	41	24	37	33	31	23
cds2075	3177	3052	3419	2605	1842	1966
cds2076	18734	16989	21515	15322	10790	12098
cds2077	114	50	74	38	29	91
cds2078	371	530	218	118	465	167
cds2079	869	302	345	352	440	517
cds208	91	29	24	12	40	0
cds2080	113	133	54	56	162	169
cds2081	244	188	56	53	292	187
cds2082	177	219	264	128	238	305
cds2083	83	47	118	47	58	177
cds2084	12	8	14	27	2	21
cds2085	22	22	40	38	15	59
cds2086	78	96	92	96	158	69
cds2087	1595	1049	1172	922	817	1364
cds2088	94	48	44	64	75	116
cds2089	137	284	150	89	287	129
cds209	230	71	43	4	142	34
cds2090	73	119	141	77	213	39
cds2091	17	4	56	7	11	9
cds2092	658	332	94	58	346	185
cds2093	21	25	336	183	18	232
cds2094	245	95	243	178	133	194
cds2095	77	33	97	35	39	125
cds2096	23	5	59	64	12	33
cds2097	90	9	55	65	27	44
cds2098	31	17	28	10	4	35
cds2099	3	10	12	0	7	0
cds21	3	5	26	14	11	36
cds210	506	281	42	11	381	66
cds2100	50	28	106	53	30	114
cds2101	111	92	127	65	39	101
cds2102	179	111	194	193	98	269
cds2103	62	26	47	34	21	47
cds2104	75	36	63	7	35	11
cds2105	45	22	92	28	29	46
cds2106	436	164	275	104	162	655
cds2107	222	123	144	29	199	188
cds2108	1	11	25	6	11	17
cds2109	57	37	290	104	26	270
cds211	1174	652	240	155	901	238
cds2110	138	93	107	77	78	151
cds2111	13	10	198	136	7	179
cds2112	77	64	49	77	52	297
cds2113	33	38	40	57	105	70
cds2114	124	112	63	54	188	186
cds2115	1139	560	590	508	651	888
cds2116	24	14	66	21	13	19
cds2117	6	2	52	20	4	3
cds2118	1	0	116	0	0	19
cds2119	9	4	31	17	9	33
cds212	216	50	245	119	42	243
cds2120	6466	4551	675	352	5238	593
cds2121	268	236	368	360	269	311
cds2122	167	245	42	24	252	27
cds2123	562	678	104	74	687	247
cds2124	2183	1765	297	170	1836	303
cds2125	1226	651	57	64	639	176
cds2126	11	6	38	5	5	22
cds2127	6	8	71	20	8	15
cds2128	103	102	59	61	137	57
cds2129	23	39	15	11	48	34
cds213	23	9	17	13	18	6
cds2130	8	12	30	0	10	0
cds2131	2119	1527	344	285	1587	372
cds2132	734	621	81	38	673	6
cds2133	120	71	47	30	154	0
cds2134	456	448	43	30	339	6
cds2135	137	161	27	14	101	15
cds2136	4	3	127	81	11	20
cds2137	63	62	52	79	56	79
cds2138	27	6	29	0	11	0
cds2139	2129	3328	326	481	3507	494
cds214	537	281	384	425	549	577
cds2140	384	692	131	131	822	149
cds2141	64	63	43	66	44	84
cds2142	59	36	60	41	41	27
cds2143	273	212	22	66	384	126
cds2144	554	403	153	128	495	111
cds2145	1466	1036	570	489	1312	849
cds2146	601	389	360	129	459	564
cds2147	148	163	100	80	192	92
cds2148	0	0	10	0	1	0
cds2149	77	54	145	147	65	110
cds215	31	9	38	32	16	60
cds2150	259	245	83	61	295	99
cds2151	1	6	13	9	5	10
cds2152	91	34	142	28	57	55
cds2153	51	28	43	44	47	46
cds2154	52	36	63	32	47	21
cds2155	0	6	7	0	3	0
cds2156	17	19	45	10	19	29
cds2157	771	285	386	191	228	465
cds2158	7566	3978	723	500	3989	716
cds2159	186	108	259	237	140	353
cds216	262	589	231	162	1118	156
cds2160	54	85	193	69	66	223
cds2161	5	12	35	37	26	14
cds2162	115	68	170	127	104	318
cds2163	44	22	151	113	39	175
cds2164	56	50	81	82	49	80
cds2165	51	57	113	106	78	118
cds2166	182	104	143	202	100	213
cds2167	123	93	267	402	85	438
cds2168	191	92	117	93	111	117
cds2169	7	14	30	3	47	0
cds217	7	7	151	47	9	89
cds2170	106	119	131	57	198	1
cds2171	77	47	8	4	77	0
cds2172	188	102	45	48	164	109
cds2173	100	75	20	43	45	29
cds2174	1	1	0	0	1	0
cds2175	2	1	1	0	13	8
cds2176	1	3	14	0	2	0
cds2177	5	0	11	0	3	0
cds2178	9	0	5	0	7	7
cds2179	26	13	141	34	28	110
cds218	5	3	0	0	0	0
cds2180	35	31	80	62	44	117
cds2181	157	101	120	100	147	57
cds2182	2	4	32	62	2	22
cds2183	49	43	242	272	36	80
cds2184	0	0	178	346	2	24
cds2185	290	304	327	458	685	100
cds2186	9	0	137	170	0	43
cds2187	5	4	97	96	1	13
cds2188	2	2	185	302	0	79
cds2189	22	15	164	393	22	64
cds219	87	75	58	19	69	103
cds2190	1967	1182	1124	1579	1105	3846
cds2191	339	142	138	141	184	197
cds2192	249	171	132	107	196	142
cds2193	567	434	352	198	348	470
cds2194	224	118	228	146	129	297
cds2195	161	62	184	77	75	115
cds2196	53	41	239	219	72	602
cds2197	33	28	34	8	27	77
cds2198	55	49	55	11	108	85
cds2199	40	60	26	27	125	26
cds22	19	24	29	0	43	39
cds220	121	38	116	137	51	114
cds2200	24	10	19	8	3	4
cds2201	19	0	10	5	15	9
cds2202	670	308	137	126	178	260
cds2203	40	6	69	30	13	14
cds2204	65	17	31	6	43	28
cds2205	27	8	4	0	11	24
cds2206	39	15	4	6	19	12
cds2207	865	176	99	123	133	128
cds2208	79	108	136	76	125	131
cds2209	213	124	182	118	158	277
cds221	465	307	734	604	274	775
cds2210	134	166	160	65	219	102
cds2211	199	215	55	117	213	72
cds2212	92	51	137	43	106	85
cds2213	144	109	166	79	148	388
cds2214	654	647	256	219	761	415
cds2215	135	104	176	85	97	122
cds2216	101	59	210	81	48	388
cds2217	245	170	249	276	212	289
cds2218	3291	2395	1661	1451	3472	1150
cds2219	1271	890	625	793	1485	686
cds222	1	2	1	0	0	0
cds2220	3	0	11	10	3	0
cds2221	2	0	43	55	14	25
cds2222	323	50	236	94	146	177
cds2223	12	16	28	17	22	14
cds2224	580	412	217	216	712	201
cds2225	1272	973	235	258	903	510
cds2226	584	506	675	691	468	1045
cds2227	47	23	92	89	39	54
cds2228	602	1048	502	389	1314	1143
cds2229	27	19	32	11	57	18
cds223	882	793	303	148	678	160
cds2230	4	1	13	0	6	7
cds2231	27	6	24	14	22	21
cds2232	46	42	109	57	51	65
cds2233	5	1	13	5	4	30
cds2234	47	82	62	35	99	86
cds2235	16	8	29	0	13	48
cds2236	122	50	586	322	47	430
cds2237	45	50	102	137	19	88
cds2238	29	26	13	4	6	57
cds2239	7	13	9962	11703	6	2088
cds224	358	280	181	40	269	103
cds2240	9	0	2755	2470	0	1682
cds2241	395	166	354	330	246	481
cds2242	585	1089	5215	3603	780	3770
cds2243	285	116	623	413	120	234
cds2244	39	12	178	19	12	49
cds2245	207	111	1748	1744	100	1154
cds2246	64	52	63	95	31	146
cds2247	170	221	336	222	185	252
cds2248	11951	11217	628	574	13805	1143
cds2249	114	62	217	134	50	84
cds225	65	39	86	70	55	234
cds2250	589	314	516	348	361	532
cds2251	104	46	142	37	30	72
cds2252	30	21	29	8	28	32
cds2253	3	9	18	0	8	16
cds2254	8	8	80	31	7	36
cds2255	13	10	45	0	13	13
cds2256	4	0	21	0	1	31
cds2257	61	50	47	24	26	6
cds2258	36	24	44	35	87	16
cds2259	130	52	88	82	113	81
cds226	11	2	20	3	10	10
cds2260	344	271	166	182	437	475
cds2261	0	0	11	13	0	0
cds2262	9	2	12	13	6	4
cds2263	5	0	37	35	1	1
cds2264	2	0	153	70	9	77
cds2265	141	72	220	190	62	208
cds2266	11	33	160	113	35	133
cds2267	171	239	247	250	271	269
cds2268	25	7	139	51	2	55
cds2269	113	102	293	242	74	450
cds227	0	0	6	0	0	0
cds2270	14	10	101	132	24	94
cds2271	434	530	91	96	732	82
cds2272	23	1	9	0	11	7
cds2273	9	4	24	0	6	1
cds2274	178	91	6	0	123	19
cds2275	3	5	19	6	4	0
cds2276	10	17	50	0	17	24
cds2277	8	2	20	9	5	2
cds2278	110	26	34	5	79	99
cds2279	339	146	16	19	142	95
cds228	0	0	3	0	0	0
cds2280	310	101	17	13	83	50
cds2281	571	331	66	40	240	54
cds2282	114	95	10	0	59	0
cds2283	77	94	119	54	87	197
cds2284	3	0	5	0	4	0
cds2285	9	4	13	22	4	12
cds2286	4	2	2	0	3	6
cds2287	41	22	48	9	28	32
cds2288	73	26	135	108	37	97
cds2289	0	0	0	5	0	0
cds229	22	17	121	85	14	143
cds2290	60	25	36	11	17	20
cds2291	27	11	59	57	33	52
cds2292	0	0	13	0	0	0
cds2293	15	1	7	0	5	5
cds2294	0	3	5	0	10	8
cds2295	40	32	11	26	10	46
cds2296	51	33	159	92	53	158
cds2297	1	0	0	0	0	0
cds2298	0	4	10	0	1	0
cds2299	5	0	35	8	3	37
cds23	28	21	0	0	31	0
cds230	20	36	57	33	74	60
cds2300	2	10	8	18	19	10
cds2301	869	1105	1470	835	1491	883
cds2302	189	1208	11199	7191	614	17895
cds2303	35	21	20	9	33	6
cds2304	60	15	18	24	33	10
cds2305	70	31	173	127	56	193
cds2306	0	0	5	0	0	0
cds2307	60	78	177	109	134	140
cds2308	22	4	65	39	9	40
cds2309	2	1	75	11	2	0
cds231	49	68	50	10	49	5
cds2310	107	97	159	158	140	144
cds2311	163	150	58	60	115	140
cds2312	17	7	52	42	19	0
cds2313	8	0	23	0	7	5
cds2314	1	2	9	11	1	2
cds2315	27	13	77	11	15	34
cds2316	23	7	78	8	3	61
cds2317	12	20	14	0	16	47
cds2318	21	21	78	40	41	78
cds2319	20	7	28	0	7	22
cds232	49	24	42	7	32	19
cds2320	73	75	11	0	85	63
cds2321	24	7	17	28	13	4
cds2322	57	48	34	21	48	39
cds2323	46	42	48	11	13	97
cds2324	11	12	80	55	8	16
cds2325	804	817	1938	1563	702	1377
cds2326	325	224	326	344	247	631
cds2327	1842	1594	1056	828	1373	1455
cds2328	438	784	223	114	1037	68
cds2329	1	5	80	28	3	45
cds233	104	97	67	50	96	42
cds2330	382	375	318	218	597	284
cds2331	41	73	199	239	68	199
cds2332	941	1160	489	387	1728	369
cds2333	38	13	12	0	35	20
cds2334	71	40	70	21	40	120
cds2335	78	61	78	81	93	212
cds2336	109	107	91	99	80	233
cds2337	386	278	422	261	339	347
cds2338	156	118	104	111	147	152
cds2339	22	25	85	76	59	85
cds234	83	82	57	33	62	23
cds2340	20	16	75	43	14	30
cds2341	18	11	10	0	8	18
cds2342	3	4	3	4	0	0
cds2343	103	88	649	524	59	422
cds2344	86	24	11	0	33	16
cds2345	248	102	62	9	168	28
cds2346	75	22	13	21	64	14
cds2347	57	14	27	0	22	12
cds2348	38	15	40	0	15	0
cds2349	0	0	11	0	3	0
cds235	205	316	97	30	253	62
cds2350	80	59	37	31	127	15
cds2351	8	2	10	0	0	26
cds2352	15	0	0	13	4	17
cds2353	0	2	15	0	1	38
cds2354	17	13	9	15	0	56
cds2355	47	42	96	35	69	83
cds2356	84	40	100	22	26	145
cds2357	89	77	99	52	148	74
cds2358	328	356	103	139	487	215
cds2359	347	196	115	73	288	317
cds236	2927	2819	87	90	1487	60
cds2360	29	9	308	288	2	161
cds2361	174	65	203	137	141	172
cds2362	55	23	25	54	35	26
cds2363	359	349	243	190	315	328
cds2364	429	528	347	308	679	235
cds2365	339	290	76	79	351	115
cds2366	636	869	153	77	764	67
cds2367	57	62	55	38	51	31
cds2368	47	32	56	38	46	29
cds2369	1860	1986	966	1048	1911	977
cds237	3	0	28	31	1	15
cds2370	13	0	22	12	11	0
cds2371	1	4	29	12	2	0
cds2372	8	3	1	0	1	0
cds2373	2	0	7	0	0	0
cds2374	6	9	76	32	9	38
cds2375	105	67	91	54	83	84
cds2376	62	28	55	63	80	73
cds2377	92	135	90	82	119	126
cds2378	1538	1048	2341	2457	1407	1501
cds2379	524	388	999	782	439	535
cds238	549	441	20	0	517	21
cds2380	1	5	121	83	2	69
cds2381	592	515	355	468	450	633
cds2382	525	373	454	567	289	940
cds2383	18	16	24	47	6	33
cds2384	13	1	18	8	6	36
cds2385	0	0	5	0	0	0
cds2386	0	0	10	0	0	0
cds2387	0	0	0	0	1	0
cds2388	71	75	77	69	87	41
cds2389	622	828	673	538	856	915
cds239	596	727	54	0	712	61
cds2390	65	22	894	495	37	689
cds2391	338	230	218	197	280	467
cds2392	1876	1062	2780	2220	1015	1733
cds2393	216	94	93	55	195	267
cds2394	528	309	161	172	337	152
cds2395	47	29	96	35	50	70
cds2396	0	0	10	15	4	0
cds2397	7	0	8	23	2	0
cds2398	2	1	11	34	1	14
cds2399	1	1	8	0	0	0
cds24	380	375	613	327	461	346
cds240	203	236	28	34	265	10
cds2400	62	22	91	34	36	34
cds2401	9	6	12	0	2	16
cds2402	14	7	37	5	14	36
cds2403	918	658	218	175	1288	373
cds2404	648	545	100	152	1147	271
cds2405	381	288	123	81	745	179
cds2406	948	799	44	62	1284	171
cds2407	53	21	1588	1285	20	1843
cds2408	15	10	259	207	18	240
cds2409	57	50	66	70	74	74
cds241	1675	1193	159	45	1294	59
cds2410	17	13	23	9	15	8
cds2411	28	27	521	187	32	365
cds2412	17	10	18	13	8	19
cds2413	30	32	12	55	32	43
cds2414	2161	2093	313	319	3402	400
cds2415	426	341	110	144	528	281
cds2416	10	16	18	0	12	29
cds2417	6	2	15	41	10	52
cds2418	55	16	13	8	8	35
cds2419	77	21	78	15	10	32
cds242	773	333	115	58	411	38
cds2420	14	9	95	47	14	81
cds2421	4	16	28	4	19	5
cds2422	89	38	26	16	67	27
cds2423	332	107	184	96	106	157
cds2424	212	226	1090	782	179	1335
cds2425	374	230	157	135	257	183
cds2426	238	110	156	246	106	218
cds2427	8	2	47	11	9	7
cds2428	25	68	105	114	36	377
cds2429	41	48	80	23	42	98
cds243	665	301	123	49	530	29
cds2430	38	10	125	38	8	127
cds2431	1530	1007	967	934	937	558
cds2432	690	238	174	44	312	35
cds2433	3964	3152	65	52	4789	183
cds2434	2040	1109	75	52	1422	93
cds2435	2697	1492	33	21	1430	168
cds2436	2949	1836	70	38	2087	78
cds2437	3345	2179	130	51	2026	156
cds2438	1626	1404	81	72	1134	166
cds2439	253	627	1056	845	361	1912
cds244	98	17	26	25	35	16
cds2440	11	9	269	368	3	71
cds2441	12	2	117	138	8	86
cds2442	13	9	35	15	4	12
cds2443	9	51	259	201	34	329
cds2444	65	34	26	5	28	17
cds2445	1581	439	586	223	452	50
cds2446	44	13	47	18	16	44
cds2447	13	7	47	7	6	9
cds2448	0	0	15	5	2	0
cds2449	519	890	99	87	1101	88
cds245	33	1	21	6	4	1
cds2450	448	635	166	43	907	142
cds2451	7	2	12	0	1	12
cds2452	3	1	0	0	3	0
cds2453	35	15	31	32	26	14
cds2454	57	61	69	31	30	47
cds2455	13	1	47	11	4	10
cds2456	1	3	23	15	8	39
cds2457	124	138	133	244	223	725
