	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds1411	5	582	635	23	33	1332
cds1412	8	406	328	40	48	574
cds1413	8	172	126	34	31	214
cds1414	1	137	114	24	0	178
cds1415	14	270	222	12	14	344
cds1416	1	225	241	41	20	403
cds1417	170	776	497	503	262	662
cds1418	143	278	271	142	199	351
cds1419	0	2	0	11	9	6
cds142	77	464	417	143	184	825
cds1420	491	7523	8435	707	754	9262
cds1421	5	16	12	27	6	18
cds1422	7	77	94	3	9	204
cds1423	17	173	290	48	36	435
cds1424	60	180	131	101	78	177
cds1425	0	44	65	0	10	81
cds1426	0	43	51	0	0	78
cds1427	18	450	501	42	34	642
cds1428	219	2022	2164	734	378	3180
cds1429	0	62	71	21	16	83
cds143	205	847	914	495	321	1772
cds1430	15	169	173	27	10	333
cds1431	11	246	202	49	5	457
cds1432	0	14	16	0	0	33
cds1433	23	34	29	20	9	60
cds1434	24	111	76	40	7	142
cds1435	0	136	167	2	2	265
cds1436	7	38	32	2	7	50
cds1437	2	62	64	14	0	88
cds1438	65	343	353	101	77	552
cds1439	21	4	2	100	67	4
cds144	503	768	734	668	578	1612
cds1440	142	20	28	241	76	25
cds1441	17	557	493	45	14	916
cds1442	0	23	33	4	0	78
cds1443	0	71	27	6	6	68
cds1444	14	195	243	13	44	341
cds1445	59	1339	1318	182	197	1823
cds1446	0	130	127	18	0	141
cds1447	48	555	532	62	47	979
cds1448	16	100	91	5	9	121
cds1449	67	833	927	181	87	1224
cds145	86	368	353	84	56	565
cds1450	9	179	193	41	14	294
cds1451	18	236	251	51	31	333
cds1452	0	145	115	11	24	213
cds1453	13	179	215	10	8	193
cds1454	0	102	87	3	8	130
cds1455	7	64	78	0	11	124
cds1456	4	60	57	52	23	114
cds1457	3	52	79	8	14	126
cds1458	2	5	8	3	4	6
cds1459	0	29	18	28	9	56
cds146	13	177	85	49	38	254
cds1460	0	7	4	8	22	6
cds1461	12	8	18	0	0	9
cds1462	0	28	16	10	6	45
cds1463	3	19	14	3	0	30
cds1464	12	13	18	28	3	22
cds1465	5	162	220	30	40	276
cds1466	11	60	70	34	36	116
cds1467	15	261	232	5	5	469
cds1468	14	1402	1443	48	31	2157
cds1469	0	24	2	0	0	14
cds147	1	15	23	7	9	28
cds1470	9	35	38	31	0	53
cds1471	0	113	149	7	0	239
cds1472	0	40	30	35	13	30
cds1473	26	525	619	64	31	605
cds1474	3	59	54	0	0	74
cds1475	16	109	96	71	15	212
cds1476	11	174	123	32	21	268
cds1477	6	250	182	50	0	319
cds1478	14	184	166	0	16	246
cds1479	11	413	389	0	0	595
cds148	0	26	21	16	0	26
cds1480	34	1006	833	24	54	1243
cds1481	0	128	99	0	0	153
cds1482	1	143	122	20	6	237
cds1483	19	360	404	13	69	584
cds1484	4	54	28	6	0	50
cds1485	0	49	47	0	0	65
cds1486	0	7	16	0	0	34
cds1487	1	5	16	0	0	22
cds1488	0	5	6	0	0	10
cds1489	19	50	80	7	0	97
cds149	12	120	136	54	0	251
cds1490	5	8	15	5	0	32
cds1491	3	15	5	0	0	16
cds1492	12	22	22	33	0	12
cds1493	0	19	17	30	0	35
cds1494	54	3008	3632	51	40	5131
cds1495	11	168	203	77	59	285
cds1496	0	9	8	0	0	21
cds1497	0	39	31	26	0	64
cds1498	6	110	149	66	27	149
cds1499	22	45	49	41	24	110
cds15	105	588	539	175	119	991
cds150	0	8	7	0	0	1
cds1500	26	74	88	17	33	85
cds1501	20	50	21	5	0	30
cds1502	39	285	278	90	56	411
cds1503	2	305	328	44	20	631
cds1504	29	430	479	32	24	825
cds1505	12	287	274	29	0	407
cds1506	21	376	359	38	50	632
cds1507	43	1095	1221	152	74	1768
cds1508	7	14	26	0	12	26
cds1509	0	3	3	3	0	6
cds151	0	10	8	6	0	8
cds1510	14	89	116	2	16	151
cds1511	48	577	638	145	141	915
cds1512	19	33	42	16	0	74
cds1513	94	525	540	160	117	812
cds1514	7	330	324	17	3	511
cds1515	1	142	179	14	28	284
cds1516	0	62	39	0	15	62
cds1517	40	339	314	43	20	356
cds1518	4	165	121	0	11	208
cds1519	83	200	183	181	76	256
cds152	0	6	7	0	18	5
cds1520	48	567	588	120	70	813
cds1521	72	497	390	82	30	712
cds1522	27	29	18	64	4	22
cds1523	10	7	6	15	3	15
cds1524	25	12	7	18	12	22
cds1525	6	34	24	29	45	20
cds1526	0	8	5	0	0	4
cds1527	1206	935	1072	1720	1279	1582
cds1528	1	58	53	0	7	74
cds1529	17	900	711	28	57	1050
cds153	1	6	7	24	3	4
cds1530	0	82	84	21	2	103
cds1531	19	97	67	3	27	128
cds1532	12	128	104	21	0	132
cds1533	0	77	73	12	5	140
cds1534	0	174	175	2	31	304
cds1535	17	19	24	0	14	57
cds1536	3	53	49	4	0	120
cds1537	4	46	82	3	11	137
cds1538	84	1339	1331	179	64	2283
cds1539	2	121	98	10	17	150
cds154	0	1	7	0	5	2
cds1540	12	497	554	0	27	925
cds1541	5	665	516	8	39	983
cds1542	123	5919	5975	263	164	7779
cds1543	0	136	125	0	14	175
