	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds3191	26	84	109	51	33	166
cds3192	14	73	63	42	44	77
cds3193	6	6	6	13	14	11
cds3194	4	18	21	23	8	34
cds3195	3	18	21	8	0	30
cds3196	0	2	10	0	7	5
cds3197	12	39	43	22	0	44
cds3198	8	61	37	37	16	68
cds3199	470	31	19	887	675	28
cds32	0	3	9	3	0	2
cds320	0	5	2	0	0	12
cds3200	97	8	3	126	65	4
cds3201	39	766	675	59	21	944
cds3202	42	307	365	14	50	484
cds3203	5	333	291	24	23	571
cds3204	10	96	106	14	28	124
cds3205	71	128	114	77	76	149
cds3206	27	114	158	20	4	196
cds3207	4	249	243	17	27	396
cds3208	11	217	205	26	0	340
cds3209	1	191	214	36	6	296
cds321	0	21	20	9	6	21
cds3210	106	805	829	112	66	1205
cds3211	27	206	180	33	20	254
cds3212	43	469	449	113	85	724
cds3213	19	370	314	50	68	525
cds3214	172	2364	2274	308	169	3671
cds3215	3	78	67	21	0	121
cds3216	0	39	41	0	0	62
cds3217	0	13	21	13	0	21
cds3218	8	20	15	20	38	43
cds3219	60	15	42	143	55	37
cds322	0	4	9	0	0	11
cds3220	67	115	97	72	14	138
cds3221	4	18	4	0	13	18
cds3222	25	24	29	115	44	62
cds3223	36	771	265	24	32	92
cds3224	0	1	0	1	0	4
cds3225	38	172	172	32	17	243
cds3226	44	1033	925	89	57	1676
cds3227	34	494	471	73	22	668
cds3228	7	44	45	4	9	64
cds3229	0	78	70	42	4	139
cds323	0	6	1	0	0	9
cds3230	0	30	41	18	0	97
cds3231	63	2567	2493	205	81	3893
cds3232	13	2	6	32	0	7
cds3233	9	0	1	7	1	0
cds3234	0	2	1	0	0	0
cds3235	0	13	12	7	0	21
cds3236	0	0	0	16	11	1
cds3237	0	31	40	18	0	40
cds3238	12	21	14	1	9	13
cds3239	1	9	7	9	19	12
cds324	1	15	19	6	1	18
cds3240	0	0	3	17	0	2
cds3241	0	0	0	0	0	0
cds3242	0	1	1	0	0	0
cds3243	5	169	128	58	97	211
cds3244	0	136	119	45	18	217
cds3245	0	8	7	0	0	1
cds3246	0	13	24	5	0	37
cds3247	5	244	225	61	41	351
cds3248	8	8	11	6	0	9
cds3249	7	63	53	44	41	91
cds325	2	117	112	23	7	201
cds3250	26	271	270	109	38	285
cds3251	17	752	853	84	49	1322
cds3252	0	450	455	45	71	820
cds3253	6	42	33	17	13	52
cds3254	3	65	38	5	0	85
cds3255	5	73	91	55	7	105
cds3256	6	11	16	18	3	23
cds3257	94	763	798	210	150	1208
cds3258	8	42	32	10	13	72
cds3259	0	14	14	0	0	36
cds326	20	143	56	13	0	83
cds3260	89	343	178	134	107	160
cds3261	2	39	13	4	8	20
cds3262	274	497	589	415	448	760
cds3263	18	64	50	15	4	74
cds3264	87	671	587	150	95	779
cds3265	0	24	17	0	0	25
cds3266	16	123	92	18	31	147
cds3267	55	313	275	77	47	438
cds3268	68	369	382	160	83	638
cds3269	11	9	10	15	0	5
cds327	0	36	13	11	0	33
cds3270	35	235	142	34	1	185
cds3271	59	102	56	169	91	114
cds3272	34	129	143	59	69	261
cds3273	0	21	30	13	0	60
cds3274	0	85	93	8	0	234
cds3275	13	208	194	13	34	408
cds3276	14	82	72	0	15	142
cds3277	0	81	91	0	13	150
cds3278	0	47	28	3	0	56
cds3279	1	107	90	4	10	208
cds328	0	43	22	0	0	18
cds3280	6	1880	2288	41	28	3377
cds3281	2	431	316	18	9	452
cds3282	11	838	565	56	50	1169
cds3283	4	326	331	3	16	459
cds3284	212	726	795	599	356	1102
cds3285	246	1447	1322	421	311	2172
cds3286	58	193	217	53	104	323
cds3287	25	155	122	24	23	232
cds3288	57	784	788	67	55	1191
cds3289	29	709	691	62	28	1038
cds329	8	28	34	0	7	48
cds3290	6	157	188	52	19	311
cds3291	0	2	5	0	0	5
cds3292	0	21	32	0	8	26
cds3293	13	13	19	0	13	26
cds3294	11	153	107	0	17	227
cds3295	11	221	221	38	15	313
cds3296	0	111	91	31	13	120
cds3297	14	304	278	30	5	435
cds3298	0	120	117	21	5	190
cds3299	13	116	102	0	0	164
cds33	0	3	4	0	0	5
cds330	0	58	52	8	7	102
cds3300	0	6	7	0	0	5
cds3301	0	29	21	23	11	29
cds3302	0	36	46	6	19	63
cds3303	25	447	476	43	26	811
cds3304	18	182	145	27	9	269
cds3305	0	12	14	0	0	33
cds3306	8	24	32	0	6	38
cds3307	8	21	13	22	14	31
cds3308	6	9	8	13	0	10
cds3309	8	14	21	12	0	31
cds331	10	50	47	0	0	66
cds3310	0	1	1	0	0	0
cds3311	0	11	7	0	0	9
cds3312	1	3	0	0	0	0
cds3313	0	9	2	0	0	3
cds3314	0	9	2	0	0	0
cds3315	0	0	0	0	0	0
cds3316	44	15	2	23	26	11
cds3317	36	19	19	34	50	4
cds3318	124	20	22	126	143	24
cds3319	0	92	52	19	55	83
cds332	0	0	6	0	0	7
cds3320	26	79	88	6	13	143
cds3321	6	10	1	0	0	14
cds3322	0	14	6	0	0	8
cds3323	3	6	5	10	0	3
cds3324	0	2	5	0	0	2
cds3325	2	9	1	0	0	6
cds3326	22	252	305	50	34	392
cds3327	12	155	277	26	16	307
cds3328	2	58	80	0	0	113
cds3329	8	75	27	30	9	84
cds333	0	9	7	0	0	36
cds3330	0	8	3	0	0	17
cds3331	0	12	23	0	0	24
cds3332	18	1	11	0	1	19
cds3333	22	36	21	18	0	15
cds3334	0	6	1	0	0	4
cds3335	0	34	18	0	6	29
cds3336	14	781	388	15	7	297
cds3337	0	48	68	0	0	70
cds3338	32	39	46	56	69	52
cds3339	4	70	62	21	0	93
cds334	0	9	4	0	3	4
cds3340	0	24	22	14	0	46
cds3341	4	14	14	8	10	23
cds3342	0	5	5	0	0	10
cds3343	0	11	17	0	0	13
cds3344	3	20	6	0	7	12
cds3345	0	5	8	0	3	2
cds3346	7	6	1	0	0	3
cds3347	0	8	12	7	9	16
cds3348	0	8	5	3	0	11
cds3349	4	142	138	23	0	211
cds335	0	11	3	0	0	16
cds3350	7	61	63	6	4	86
cds3351	0	15	18	0	0	13
cds3352	7	30	22	0	0	18
cds3353	0	43	36	10	0	41
cds3354	33	63	67	22	28	64
cds3355	0	15	26	0	5	57
cds3356	27	5	4	20	14	3
cds3357	4	25	31	0	0	29
cds3358	8	165	143	8	9	237
cds3359	20	329	364	39	35	556
cds336	1	48	47	17	8	85
cds3360	56	290	247	83	55	313
cds3361	13	117	108	0	29	157
cds3362	5	77	69	0	16	109
cds3363	2	11	4	0	2	12
cds3364	4	2	0	5	0	4
cds3365	0	237	131	13	5	258
cds3366	20	335	275	50	23	576
cds3367	8	44	30	11	0	71
cds3368	21	353	362	36	8	670
cds3369	4	5	32	9	18	31
cds337	0	21	29	0	0	33
cds3370	8	88	65	10	9	87
cds3371	7	9	12	0	0	21
cds3372	0	38	42	6	0	70
cds3373	0	34	30	2	0	55
cds3374	0	6	11	0	0	8
cds3375	4	183	195	0	4	274
cds3376	8	146	161	12	18	217
cds3377	0	82	77	0	11	124
cds3378	4	46	46	23	7	54
cds3379	5	27	14	0	0	14
cds338	0	1	0	0	0	7
cds3380	11	56	77	0	7	116
cds3381	8	108	103	8	0	202
cds3382	106	297	335	44	101	530
cds3383	6	155	174	5	0	286
cds3384	24	82	82	69	43	70
cds3385	0	65	104	0	13	123
cds3386	23	84	79	17	22	141
cds3387	0	64	56	0	4	80
cds3388	5	138	110	21	13	180
cds3389	84	193	72	181	95	83
cds339	5	9	8	33	14	14
cds3390	1	4	5	7	0	6
cds3391	0	11	11	0	0	15
cds3392	13	80	82	45	0	157
cds3393	6	261	319	47	43	426
cds3394	12	37	18	6	6	55
cds3395	9	49	68	12	2	126
cds3396	3	36	15	16	0	28
cds3397	57	180	148	59	70	231
cds3398	1	65	82	0	3	102
cds3399	0	0	9	16	0	7
cds34	5	18	9	0	5	28
cds340	0	5	2	0	0	3
cds3400	0	17	16	0	0	25
cds3401	0	11	6	5	26	18
cds3402	8	45	36	0	3	22
cds3403	11	49	46	17	24	76
cds3404	28	96	69	16	23	112
cds3405	102	302	327	91	137	525
cds3406	123	383	292	226	153	371
cds3407	0	7	38	0	0	88
cds3408	16	42	55	23	19	130
cds3409	2	39	51	71	9	74
cds341	0	0	6	0	0	3
cds3410	3	100	128	32	17	267
cds3411	0	8	18	0	0	25
cds3412	0	23	19	11	0	42
cds3413	0	13	19	0	5	13
cds3414	0	4	10	0	0	13
cds3415	0	10	30	4	2	7
cds3416	16	21	8	13	0	11
cds3417	6	20	28	16	4	22
cds3418	3	9	6	0	6	8
cds3419	2	14	27	12	33	8
cds342	1	145	105	0	39	176
cds3420	11	45	37	34	35	75
cds3421	0	11	15	0	2	14
cds3422	10	13	3	2	14	8
cds3423	7	44	41	5	12	53
cds3424	3	60	54	0	12	78
cds3425	0	3	6	0	0	2
cds3426	0	4	5	0	0	8
cds3427	11	11	5	0	8	7
cds3428	4	13	10	4	0	6
cds3429	0	9	10	0	0	16
cds343	4	7	12	2	7	6
cds3430	16	129	57	23	9	39
cds3431	0	19	44	0	3	37
cds3432	9	32	18	0	10	34
cds3433	8	9	23	0	0	19
cds3434	0	17	20	0	19	11
cds3435	0	41	49	0	2	106
cds3436	10	28	24	5	16	39
cds3437	0	36	28	0	1	29
cds3438	5	50	57	0	0	59
cds3439	0	22	10	0	7	22
cds344	0	7	3	17	15	16
cds3440	0	8	8	0	16	16
cds3441	5	2	9	12	11	11
cds3442	0	4	2	7	6	5
cds3443	0	2	3	1	2	3
cds3444	13	18	13	10	9	20
cds3445	0	40	22	0	0	71
cds3446	13	49	55	34	41	82
cds3447	9	107	109	24	28	192
cds3448	0	4	5	0	0	20
cds3449	0	14	19	10	0	14
cds345	0	9	3	8	0	9
cds3450	13	74	71	16	42	105
cds3451	0	9	7	12	0	17
cds3452	0	22	17	21	0	25
cds3453	12	19	19	23	24	20
cds3454	4	120	86	34	22	137
cds3455	10	68	53	0	32	93
cds3456	0	27	33	0	0	43
cds3457	8	98	93	3	3	142
cds3458	0	26	23	14	0	37
cds3459	0	65	90	4	0	114
cds346	15	11	8	0	0	7
cds3460	0	84	89	0	12	131
cds3461	2	136	154	45	52	198
cds3462	0	2	10	0	0	11
cds3463	26	218	209	164	73	416
cds3464	15	37	54	4	32	67
cds3465	10	29	26	16	22	40
cds3466	1	13	18	0	11	31
cds3467	0	6	2	0	0	2
cds3468	43	388	359	92	110	625
cds3469	28	34	31	55	56	40
cds347	13	45	39	45	46	53
cds3470	2	12	9	0	0	15
cds3471	0	0	0	0	0	2
cds3472	0	23	30	0	0	27
cds3473	2	9	31	0	0	18
cds3474	43	206	190	91	106	298
cds3475	0	97	97	24	35	143
cds3476	128	762	773	121	153	939
cds3477	24	4	5	69	51	17
cds3478	0	6	12	13	0	11
cds3479	11	18	23	107	42	28
cds348	13	53	63	29	20	115
cds3480	0	7	13	41	8	8
cds3481	1	9	8	29	11	25
cds3482	0	10	12	10	5	10
cds3483	7	112	153	27	17	172
cds3484	0	42	34	13	1	55
cds3485	15	127	124	46	56	180
cds3486	10	29	54	10	15	84
cds3487	0	16	35	20	21	36
cds3488	17	60	47	14	9	96
cds3489	179	2115	1992	245	108	3298
cds349	451	963	546	783	527	676
cds3490	86	2562	2850	228	192	3822
cds3491	132	523	396	143	73	522
cds3492	6	157	139	34	29	213
cds3493	32	122	147	24	34	132
cds3494	6	232	182	2	21	368
cds3495	12	313	340	28	6	459
cds3496	22	374	369	74	17	602
cds3497	4	338	312	6	17	510
cds3498	0	19	7	20	0	28
cds3499	0	29	29	0	0	21
cds35	97	201	292	173	137	440
cds350	0	71	67	0	3	83
cds3500	19	39	59	0	2	93
cds3501	35	200	189	78	26	292
cds3502	15	160	157	32	0	323
cds3503	30	240	166	29	19	298
cds3504	4	840	693	55	33	1111
cds3505	62	603	578	132	36	854
cds3506	0	39	41	11	7	85
cds3507	2	6	12	0	0	21
cds3508	20	296	285	37	26	336
cds3509	0	0	9	0	0	4
cds351	0	43	46	0	0	94
cds3510	0	22	34	11	0	25
cds3511	0	19	7	0	0	6
cds3512	4	57	70	22	22	98
cds3513	0	11	35	5	0	21
cds3514	0	19	15	0	4	18
cds3515	4	26	16	0	7	31
cds3516	0	2	10	0	0	6
cds3517	0	5	6	4	0	8
cds3518	0	12	20	11	0	17
cds3519	2	10	9	18	0	19
cds352	2	24	31	21	5	32
cds3520	0	17	24	9	0	53
cds3521	0	6	7	0	0	19
cds3522	5	126	133	40	28	198
cds3523	0	14	6	0	0	9
cds3524	0	892	1008	28	6	1273
cds3525	0	0	0	0	0	3
cds3526	2	8	12	6	1	4
cds3527	0	0	1	0	0	0
cds3528	0	0	1	3	0	1
cds3529	7	43	27	0	13	41
cds353	2	11	18	0	4	23
cds3530	0	22	11	22	14	25
cds3531	0	3	5	0	0	7
cds3532	4	10	9	0	0	19
cds3533	0	48	46	19	2	87
cds3534	36	68	83	89	27	138
cds3535	4	6	11	12	0	11
cds3536	11	35	25	10	19	21
cds3537	5	14	11	0	0	21
cds3538	0	40	34	13	17	54
cds3539	0	45	19	8	5	58
cds354	0	20	49	5	18	32
cds3540	15	352	392	71	27	623
cds3541	2	76	75	49	54	76
cds3542	0	26	14	44	35	34
cds3543	0	4	3	38	10	2
cds3544	37	221	234	101	91	274
cds3545	2	53	33	12	11	78
cds3546	14	216	197	4	29	375
cds3547	9	83	65	10	14	112
cds3548	1	217	175	37	43	297
cds3549	12	99	108	84	36	144
cds355	0	104	127	15	9	90
cds3550	8	90	118	31	40	148
cds3551	62	1061	1100	155	87	1814
cds3552	9	258	239	13	8	345
cds3553	3	540	441	11	1	831
cds3554	1	218	151	12	16	324
cds3555	31	2561	2540	24	32	3480
cds356	8	148	183	8	46	235
cds357	9	31	28	15	18	29
cds358	0	4	10	0	0	4
cds359	6	2	4	22	0	6
cds36	4	383	370	24	19	571
cds360	7	32	20	46	0	37
cds361	6	21	29	23	15	27
cds362	9	77	71	10	19	74
cds363	0	16	6	11	0	15
cds364	9	15	9	0	0	25
cds365	0	6	4	0	5	7
cds366	0	3	0	0	0	7
cds367	10	39	35	13	0	53
cds368	12	23	16	44	24	31
cds369	3	10	10	6	2	24
cds37	110	380	313	190	210	436
cds370	0	4	6	0	0	2
cds371	0	5	10	12	0	25
cds372	6	71	68	0	0	88
cds373	21	201	179	2	0	208
cds374	8	30	28	0	3	49
cds375	0	6	4	0	5	13
cds376	0	3	5	0	0	2
cds377	3	6	14	0	0	14
cds378	5	9	17	3	0	21
cds379	0	2	8	0	0	3
cds38	136	1367	1217	157	101	1750
cds380	0	15	4	0	13	12
cds381	0	29	45	12	0	27
cds382	0	7	0	0	11	1
cds383	0	8	24	22	0	8
cds384	7	94	106	17	0	140
cds385	7	18	27	2	3	18
cds386	4	23	24	4	4	45
cds387	0	40	53	23	0	62
cds388	0	4	5	0	0	18
cds389	4	7	10	0	0	3
cds39	37	152	164	53	64	262
cds390	0	5	6	0	0	7
cds391	0	3	9	0	0	15
cds392	0	8	13	0	9	10
cds393	0	16	19	0	8	46
cds394	0	7	0	0	0	0
cds395	0	10	9	1	0	16
cds396	11	6	7	4	2	8
cds397	10	11	13	13	0	14
cds398	26	104	259	54	34	360
cds399	23	100	202	27	45	322
cds4	0	4	6	0	0	21
cds40	0	14	3	4	0	4
cds400	1	17	29	32	4	42
cds401	0	2	0	0	5	13
cds402	3	7	12	6	0	17
cds403	24	67	112	24	12	169
cds404	2	28	26	0	17	28
cds405	0	141	125	0	25	151
cds406	13	19	5	6	5	16
cds407	13	45	30	12	0	30
cds408	0	16	8	11	0	28
cds409	4	6	9	0	0	7
cds41	0	3	4	5	2	5
cds410	13	166	170	26	25	250
cds411	20	166	144	33	11	252
cds412	0	9	10	22	14	33
cds413	0	19	11	0	0	13
cds414	0	34	46	4	13	28
cds415	0	3	1	0	0	1
cds416	55	310	376	71	50	520
cds417	14	111	100	70	63	166
cds418	1	79	46	31	0	91
cds419	0	27	14	0	23	28
cds42	7	12	43	0	0	56
cds420	0	111	40	0	3	42
cds421	0	0	0	0	0	1
cds422	12	20	8	51	32	24
cds423	12	5	0	3	9	6
cds424	0	0	1	0	0	3
cds425	0	26	15	5	0	25
cds426	476	194	159	649	449	223
cds427	4	12	8	17	21	34
cds428	10	9	39	0	3	28
cds429	0	10	8	0	2	22
cds43	0	30	36	6	3	59
cds430	0	18	18	0	0	19
cds431	0	50	49	0	8	63
cds432	3	525	522	11	54	765
cds433	9	27	17	0	0	32
cds434	1	40	25	0	0	64
cds435	0	17	15	6	0	17
cds436	6	130	147	30	36	188
cds437	0	5	8	0	0	25
cds438	6	87	97	41	13	145
cds439	15	9	18	20	13	22
cds44	41	154	166	10	1	280
cds440	0	12	9	12	0	5
cds441	2	13	5	0	3	4
cds442	2	152	134	8	34	203
cds443	14	235	198	13	18	370
cds444	2	190	196	19	22	325
cds445	18	81	79	18	23	139
cds446	0	98	81	0	10	160
cds447	29	1470	1333	72	58	2074
cds448	0	169	124	12	4	171
cds449	0	48	49	0	0	65
cds45	11	293	373	0	35	448
cds450	50	592	561	126	56	810
cds451	35	171	126	0	21	206
cds452	0	66	64	25	0	103
cds453	0	86	103	17	4	170
cds454	6	65	76	24	2	116
cds455	0	156	163	8	20	275
cds456	26	383	371	66	29	618
cds457	0	5	17	0	0	10
cds458	3	41	53	0	5	53
cds459	17	42	84	17	28	96
cds46	36	754	746	125	40	1055
cds460	0	0	4	0	0	5
cds461	6	13	3	11	13	6
cds462	0	2	2	4	0	4
cds463	0	2	2	0	5	3
cds464	0	10	13	0	0	29
cds465	0	0	0	0	0	0
cds466	0	6	10	10	0	18
cds467	12	24	11	9	0	10
cds468	7	0	6	11	8	5
cds469	13	8	5	15	0	13
cds47	15	47	59	0	10	108
cds470	0	8	3	8	0	23
cds471	8	23	26	19	28	50
cds472	13	7	10	19	22	11
cds473	107	76	101	163	147	102
cds474	9	20	31	29	11	49
cds475	0	3	7	0	0	2
cds476	0	1	1	6	0	2
cds477	0	16	9	7	20	13
cds478	3	2	7	40	10	2
cds479	0	7	3	0	0	1
cds48	6	299	315	14	13	508
cds480	0	2	0	0	0	3
cds481	3	12	8	0	0	10
cds482	0	0	1	0	0	0
cds483	0	0	1	0	10	1
cds484	0	3	0	0	0	2
cds485	5	51	17	22	0	37
cds486	11	25	13	5	22	18
cds487	0	7	8	19	0	11
cds488	0	7	2	0	0	12
cds489	3	39	22	6	7	21
cds49	14	708	982	35	68	1530
cds490	19	46	41	7	5	43
cds491	0	22	23	20	15	36
cds492	9	107	103	3	7	169
cds493	0	13	25	0	0	20
cds494	0	1	4	0	0	5
cds495	7	28	31	6	7	36
cds496	0	1	8	0	0	7
cds497	0	19	20	0	0	18
cds498	0	7	7	0	0	11
cds499	0	19	14	0	0	29
cds5	0	11	30	5	30	33
cds50	0	23	25	5	5	42
cds500	13	82	148	0	5	171
cds501	10	49	78	6	0	104
cds502	13	12	15	5	37	24
cds503	0	7	10	0	0	9
cds504	46	5	5	137	123	0
cds505	39	1008	884	124	11	1263
cds506	0	21	18	0	0	14
cds507	0	0	1	18	0	1
cds508	13	306	233	23	12	382
cds509	2	5	12	12	10	15
cds51	9	169	182	41	14	293
cds510	0	6	7	0	0	17
cds511	1046	94	32	2396	1639	76
cds512	21	306	422	82	35	610
cds513	6	31	35	0	0	54
cds514	0	97	99	4	0	134
cds515	9	90	143	12	0	185
cds516	5	3	0	0	37	2
cds517	11	104	118	9	8	183
cds518	26	452	362	20	20	700
cds519	11	148	173	17	13	219
cds52	40	548	582	80	102	968
cds520	51	89	72	41	15	131
cds521	32	24	40	7	21	37
cds522	4	55	68	0	0	91
cds523	8	20	27	0	0	37
cds524	12	45	33	9	11	55
cds525	9	48	21	0	8	80
cds526	0	10	3	0	0	7
cds527	0	6	6	17	0	14
cds528	35	17	12	98	46	21
cds529	23	54	55	48	53	61
cds53	4	13	12	32	0	29
cds530	17	6	17	0	8	15
cds531	0	35	16	9	8	48
cds532	4	51	41	8	0	52
cds533	9	29	44	12	0	67
cds534	5	113	110	11	21	134
cds535	82	291	379	66	58	486
cds536	12	93	111	25	18	144
cds537	0	16	19	0	0	24
cds538	48	176	131	88	21	132
cds539	8	13	17	10	6	20
cds54	23	22	31	28	34	28
cds540	0	12	12	7	0	41
cds541	7	247	178	43	47	344
cds542	49	540	398	100	45	689
cds543	6	172	112	30	42	259
cds544	43	374	354	141	54	568
cds545	62	1186	1247	58	125	1597
cds546	27	895	850	87	44	1401
cds547	0	27	16	0	10	38
cds548	132	427	625	361	329	676
cds549	15	153	144	20	15	238
cds55	3	9	24	2	0	15
cds550	0	127	109	0	14	204
cds551	32	710	756	76	33	1165
cds552	54	554	511	70	70	861
cds553	10	42	48	0	21	56
cds554	19	365	287	28	53	615
cds555	163	584	559	247	80	870
cds556	51	240	262	59	79	319
cds557	29	212	278	75	19	481
cds558	15	104	146	58	54	218
cds559	52	279	358	109	97	469
cds56	4	13	15	44	27	22
cds560	25	371	311	54	24	482
cds561	13	375	385	46	11	501
cds562	23	212	246	31	34	373
cds563	28	148	126	19	19	204
cds564	42	407	427	79	75	590
cds565	0	172	171	22	17	431
cds566	6	345	281	30	10	536
cds567	2	97	128	13	7	168
cds568	40	391	253	69	75	545
cds569	0	55	54	0	7	65
cds57	24	145	141	92	36	179
cds570	77	670	720	331	161	1039
cds571	6	155	161	23	16	228
cds572	47	924	896	77	102	1385
cds573	0	132	144	10	1	284
cds574	3	319	282	0	0	393
cds575	23	724	820	58	36	1041
cds576	12	344	342	8	33	498
cds577	12	86	68	24	3	94
cds578	0	128	131	21	4	245
cds579	173	1365	1294	256	230	1707
cds58	18	3	21	35	28	9
cds580	11	275	178	36	47	383
cds581	16	144	109	52	27	205
cds582	108	2298	2387	179	149	3234
cds583	260	3988	3921	465	369	5751
cds584	0	239	169	30	10	328
cds585	14	405	369	17	14	684
cds586	97	2261	2032	269	157	3628
cds587	105	2328	2420	204	135	3802
cds588	20	747	825	141	66	1430
cds589	47	2060	2335	154	120	2605
cds59	2	1018	912	36	20	1685
cds590	4	123	113	10	11	208
cds591	6	60	67	78	0	91
cds592	0	4	9	0	6	25
cds593	6	11	9	14	7	7
cds594	14	3	3	16	2	10
cds595	0	23	17	0	0	50
cds596	29	72	78	48	18	137
cds597	9	47	69	15	14	83
cds598	9	570	671	74	18	926
cds599	0	102	105	5	23	158
cds6	0	11	29	3	0	20
cds60	13	1992	1699	34	53	2823
cds600	52	183	178	80	48	215
cds601	6	13	18	0	0	24
cds602	58	65	37	108	64	55
cds603	11	67	48	0	4	78
cds604	21	450	360	37	6	582
cds605	40	269	292	11	30	453
cds606	63	564	581	187	47	960
cds607	22	96	119	20	0	155
cds608	21	184	159	1	13	230
cds609	6	236	247	0	4	448
cds61	1	552	512	0	0	769
cds610	6	176	182	0	0	267
cds611	5	332	365	5	29	581
cds612	17	121	147	14	15	190
cds613	6	91	101	0	0	155
cds614	27	169	142	0	20	234
cds615	41	311	352	38	80	532
cds616	3	325	332	8	4	598
cds617	27	64	61	28	15	120
cds618	18	144	149	16	2	223
cds619	11	40	70	0	7	86
cds62	16	665	665	64	19	977
cds620	9	22	30	0	0	33
cds621	24	167	187	83	9	233
cds622	41	165	169	58	62	302
cds623	1	934	792	47	34	1441
cds624	17	452	571	54	50	774
cds625	33	188	152	53	35	329
cds626	361	786	733	429	252	1108
cds627	0	38	26	0	7	44
cds628	0	64	75	23	8	118
cds629	9	87	63	8	5	115
cds63	0	2	6	2	0	6
cds630	0	1	9	0	0	10
cds631	8	47	35	24	0	51
cds632	56	813	849	48	44	1215
cds633	11	66	95	4	15	126
cds634	22	182	164	27	41	270
cds635	59	1236	1261	77	39	1676
cds636	0	131	121	13	15	217
cds637	38	513	565	68	47	823
cds638	134	1508	1259	267	247	1851
cds639	0	111	141	0	16	194
cds64	0	20	10	0	3	36
cds640	4	382	309	24	9	583
cds641	56	650	662	60	66	1005
cds642	100	1846	1676	113	98	2561
cds643	17	787	628	36	22	1079
cds644	34	1383	1159	79	81	1814
cds645	46	879	742	15	25	1050
cds646	35	823	809	11	43	1138
cds647	3	116	82	0	7	151
cds648	16	284	242	37	1	451
cds649	94	2027	2111	311	144	2536
cds65	0	2	0	0	0	0
cds650	19	560	600	53	45	908
cds651	50	1023	1073	81	70	1574
cds652	280	5378	5778	559	361	7902
cds653	652	4696	4461	1224	797	6187
cds654	8	275	253	31	5	299
cds655	23	240	278	57	12	360
cds656	16	140	125	28	0	181
cds657	62	471	539	188	121	872
cds658	128	243	243	219	104	446
cds659	8	48	47	10	13	82
cds66	0	0	0	0	0	1
cds660	113	4277	4009	192	196	6257
cds661	5	26	35	0	7	66
cds662	13	158	166	44	24	247
cds663	187	584	639	290	155	904
cds664	37	359	294	83	41	440
cds665	44	1405	1503	86	87	2094
cds666	11	130	133	7	23	158
cds667	0	35	26	38	0	58
cds668	20	731	693	42	28	1124
cds669	39	316	302	45	30	484
cds67	0	0	0	0	0	0
cds670	154	1712	1623	298	214	2437
cds671	71	1145	1200	141	86	1722
cds672	14	318	261	8	13	442
cds673	0	259	284	29	13	456
cds674	23	847	844	78	23	1170
cds675	22	778	609	95	81	1302
cds676	0	80	49	9	6	115
cds677	0	12	14	0	6	38
cds678	0	60	48	3	0	90
cds679	5	437	400	6	29	556
cds68	0	18	31	7	12	20
cds680	17	349	380	35	31	517
cds681	3	53	54	6	5	81
cds682	14	168	159	16	11	239
cds683	12	119	95	9	0	179
cds684	0	149	114	9	1	171
cds685	9	430	549	80	22	811
cds686	45	1203	1001	43	56	1675
cds687	2	704	672	14	14	959
cds688	0	108	92	12	0	127
cds689	4	1050	958	14	16	1501
cds69	2	50	81	37	18	70
cds690	7	830	691	23	16	1063
cds691	2	269	336	23	13	378
cds692	1	325	280	15	6	457
cds693	6	359	349	4	21	557
cds694	4	188	163	0	0	283
cds695	0	99	103	0	10	142
cds696	2	124	134	10	0	208
cds697	2	782	774	35	13	1351
cds698	7	112	105	25	10	158
cds699	4	242	238	48	0	351
cds7	0	5	6	0	0	11
cds70	0	0	2	7	0	0
cds700	1	77	63	0	0	136
cds701	16	484	471	79	53	749
cds702	0	46	22	0	0	42
cds703	16	429	432	21	12	598
cds704	2	34	17	0	8	38
cds705	46	1194	1187	135	122	1526
cds706	210	772	796	120	117	945
cds707	64	5786	5830	172	109	8268
cds708	10	126	146	55	38	230
cds709	9	132	161	20	22	347
cds71	0	1	0	0	0	2
cds710	81	1128	1129	189	106	1653
cds711	0	2	4	0	0	10
cds712	23	460	378	35	64	626
cds713	16	782	790	29	46	1228
cds714	24	855	765	53	71	1296
cds715	38	812	721	103	70	1271
cds716	6	210	215	22	18	370
cds717	26	428	316	104	56	557
cds718	5	225	165	38	4	230
cds719	165	2505	2591	328	221	3539
cds72	0	0	2	0	0	1
cds720	0	96	136	0	0	318
cds721	0	175	335	8	23	835
cds722	61	381	424	30	44	546
cds723	65	999	969	93	81	1398
cds724	0	18	29	17	0	33
cds725	4	5	1	0	11	11
cds726	0	10	6	0	14	6
cds727	0	1	1	0	3	5
cds728	0	15	17	14	6	11
cds729	5	8	19	0	3	16
cds73	0	0	3	6	0	1
cds730	3	8	8	0	0	10
cds731	4	9	5	0	0	3
cds732	0	8	6	6	0	8
cds733	0	3	5	0	0	6
cds734	2	22	13	6	0	15
cds735	14	389	368	15	6	640
cds736	11	331	356	0	0	517
cds737	2	550	477	17	12	803
cds738	0	25	45	17	5	45
cds739	1	14	11	4	0	28
cds74	0	0	3	0	0	18
cds740	37	19	36	76	68	37
cds741	0	143	181	0	17	321
cds742	4	30	33	6	0	91
cds743	8	76	40	1	0	106
cds744	6	73	60	15	1	101
cds745	33	186	177	76	49	383
cds746	3	252	240	55	17	419
