	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds1441	19	18	86	61	40	182
cds1442	5	5	81	18	15	103
cds1443	7	4	53	26	3	130
cds1444	0	1	0	6	0	0
cds1445	1	1	0	22	0	103
cds1446	3	2	27	15	6	38
cds1447	0	1	50	4	0	2
cds1448	0	0	28	0	0	13
cds1449	0	0	25	0	0	0
cds145	287	280	564	284	460	953
cds1450	2	1	0	7	13	82
cds1451	1	0	0	0	1	4
cds1452	5	11	25	48	5	68
cds1453	2	2	26	30	4	34
cds1454	1	0	0	11	1	33
cds1455	0	0	0	0	0	14
cds1456	3	4	0	0	15	3
cds1457	7	32	224	145	40	210
cds1458	3	0	8	5	0	43
cds1459	0	0	82	164	0	203
cds146	134	94	186	46	180	201
cds1460	10	5	53	86	17	372
cds1461	1	1	98	63	8	119
cds1462	0	0	0	5	2	0
cds1463	5	2	87	358	18	550
cds1464	0	0	0	10	0	6
cds1465	0	5	0	0	8	37
cds1466	0	0	29	25	3	26
cds1467	1	0	0	0	0	1
cds1468	1	0	23	27	3	8
cds1469	2	1	35	8	9	53
cds147	76	78	121	176	209	452
cds1470	2	1	29	20	1	1
cds1471	1	0	0	0	0	1
cds1472	0	0	8	13	1	11
cds1473	3	3	37	35	5	68
cds1474	3	0	32	47	2	107
cds1475	0	4	35	19	4	52
cds1476	0	2	0	8	2	21
cds1477	1	0	27	26	1	26
cds1478	0	0	0	0	0	18
cds1479	1	1	12	14	1	12
cds148	29	41	103	44	91	207
cds1480	44	43	81	230	146	446
cds1481	6	8	10	18	19	52
cds1482	6	6	56	22	4	36
cds1483	0	0	21	0	3	48
cds1484	6	4	49	35	6	148
cds1485	0	0	0	0	0	28
cds1486	11	22	603	259	101	1151
cds1487	0	3	0	19	5	29
cds1488	3	2	0	5	4	55
cds1489	7	0	31	37	9	60
cds149	0	0	52	9	5	44
cds1490	4	6	25	41	9	45
cds1491	1	1	20	30	4	57
cds1492	0	0	42	15	1	15
cds1493	0	0	0	29	0	44
cds1494	0	4	116	201	2	134
cds1495	0	0	61	188	2	300
cds1496	1	3	245	899	10	874
cds1497	1	0	239	108	14	291
cds1498	0	3	43	23	0	76
cds1499	0	0	10	27	3	63
cds15	26	19	37	40	44	134
cds150	18	17	1	12	24	70
cds1500	3	3	60	71	3	88
cds1501	3	3	44	73	2	167
cds1502	3	2	0	75	2	44
cds1503	6	4	124	167	1	263
cds1504	0	2	15	191	6	274
cds1505	0	2	69	52	1	83
cds1506	0	0	0	0	0	5
cds1507	14	7	87	104	13	295
cds1508	0	0	92	25	14	76
cds1509	1	0	31	89	4	86
cds151	15	14	44	12	53	87
cds1510	5	4	54	34	4	76
cds1511	0	0	0	3	0	1
cds1512	10	4	96	150	9	103
cds1513	0	0	42	68	1	222
cds1514	0	0	0	0	0	0
cds1515	0	0	99	8	0	12
cds1516	1	1	0	44	6	19
cds1517	0	0	0	5	0	27
cds1518	1	0	20	85	2	99
cds1519	0	0	0	9	0	21
cds152	63	54	72	55	103	142
cds1520	0	0	0	7	1	12
cds1521	4	3	92	74	3	164
