	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds3186	4	1	0	0	0	23
cds3187	2	1	0	2	4	15
cds3188	4	3	24	10	9	17
cds3189	14	19	68	41	17	72
cds319	6	4	62	4	26	106
cds3190	26	23	28	13	30	43
cds3191	22	38	19	11	34	155
cds3192	138	151	485	476	169	1185
cds3193	55	60	161	113	73	272
cds3194	41	41	167	84	79	352
cds3195	14	10	61	28	33	192
cds3196	1	2	0	37	16	40
cds3197	0	0	0	7	1	3
cds3198	0	0	5	0	0	6
cds3199	6	4	74	14	21	46
cds32	0	5	0	28	5	60
cds320	31	36	261	230	44	479
cds3200	0	0	20	21	2	12
cds3201	0	4	32	13	9	27
cds3202	5	2	90	40	6	69
cds3203	0	0	0	0	0	0
cds3204	0	0	0	8	3	3
cds3205	9	5	0	7	19	47
cds3206	8	6	0	22	6	33
cds3207	10	8	145	67	17	309
cds3208	0	0	0	7	3	14
cds3209	0	0	0	0	0	14
cds321	5	14	117	3	28	58
cds3210	1	1	42	37	2	70
cds3211	12	13	99	108	46	315
cds3212	0	0	53	76	0	69
cds3213	0	1	3	47	0	114
cds3214	0	0	14	85	0	212
cds3215	0	0	382	773	2	1365
cds3216	5	4	59	49	9	75
cds3217	0	2	0	10	3	6
cds3218	1	0	0	13	0	25
cds3219	3	0	0	20	1	19
cds322	60	37	188	157	96	285
cds3220	0	1	0	26	1	52
cds3221	0	3	0	0	5	52
cds3222	2	0	59	29	0	76
cds3223	0	0	117	64	7	136
cds3224	1	1	0	92	1	76
cds3225	1	0	6	29	5	63
cds3226	0	0	123	73	1	146
cds3227	0	0	53	42	2	217
cds3228	11	8	23	152	11	260
cds3229	1	8	115	41	9	187
cds323	0	1	119	153	14	368
cds3230	39	55	844	1198	68	2356
cds3231	0	0	24	2	0	31
cds3232	7	1	0	8	10	126
cds3233	4	1	127	206	9	418
cds3234	3	14	1645	1421	32	2717
cds3235	1	5	0	8	8	31
cds3236	0	1	25	38	0	91
cds3237	2	2	234	70	21	111
cds3238	2	3	37	26	5	43
cds3239	0	0	61	107	2	254
cds324	92	75	358	45	198	116
cds3240	8	14	32	39	14	150
cds3241	3	5	27	0	11	4
cds3242	2	2	130	92	9	115
cds3243	5	4	65	80	17	272
cds3244	0	0	0	15	1	27
cds3245	2	2	21	59	12	184
cds3246	0	1	0	12	4	16
cds3247	17	8	73	85	44	229
cds3248	3	1	111	11	5	28
cds3249	1	1	0	0	4	4
cds325	3	7	321	243	21	5929
cds3250	0	0	0	3	1	15
cds3251	4	0	0	0	1	26
cds3252	16	35	97	27	34	156
cds3253	79	94	616	417	191	669
cds3254	4	3	0	11	4	30
cds3255	5	0	0	15	3	9
cds3256	5	1	0	8	7	26
cds3257	0	0	289	330	0	587
cds3258	0	0	0	55	1	161
cds3259	0	0	175	149	0	350
cds326	134	116	997	255	203	872
cds3260	0	0	24	50	2	113
cds3261	0	0	0	36	0	62
cds3262	0	0	111	95	1	280
cds3263	0	0	19	20	0	14
cds3264	10	6	1025	543	20	2185
cds3265	40	32	546	504	228	1228
cds3266	0	1	0	0	1	46
cds3267	0	1	15	0	1	6
cds3268	0	1	16	5	1	6
cds3269	32	74	789	684	136	1975
cds327	103	95	24	71	176	156
cds3270	35	36	508	484	103	1114
cds3271	1	0	0	14	6	35
cds3272	1	2	11	18	6	28
cds3273	3	6	19	81	4	213
cds3274	0	0	0	3	1	11
cds3275	0	0	0	0	0	0
cds3276	0	0	0	13	0	19
cds3277	0	0	15	4	0	6
cds3278	0	0	0	0	0	32
cds3279	1	2	26	12	0	57
cds328	87	70	179	82	228	191
cds3280	0	1	0	0	9	0
cds3281	7	5	0	0	16	20
cds3282	36	36	291	50	62	142
cds3283	4	10	48	50	37	341
cds3284	334	318	2196	481	633	1149
cds3285	17	20	128	51	45	172
cds3286	0	1	199	289	2	1505
cds3287	44	38	30	56	61	134
cds3288	9	12	30	51	17	90
cds3289	0	0	0	6	1	18
cds329	7	12	42	12	13	8
cds3290	15	23	37	25	28	116
cds3291	13	8	17	40	19	90
cds3292	14	8	0	26	15	22
cds3293	44	27	0	14	56	26
cds3294	11	1	8	2	1	0
cds3295	8	9	18	36	16	32
cds3296	16	15	9	37	19	48
cds3297	15	27	2	16	41	94
cds3298	0	0	128	184	0	319
cds3299	4	2	74	19	16	54
cds33	2	1	0	0	2	12
cds330	74	64	540	48	91	174
cds3300	35	72	519	261	121	928
cds3301	6	2	4	1	15	28
cds3302	0	2	0	0	0	5
cds3303	6	0	7	3	4	59
cds3304	20	40	57	47	56	71
cds3305	244	227	372	182	451	465
cds3306	772	1083	2140	1398	1720	3175
cds3307	0	0	16	0	1	9
cds3308	2	5	21	15	11	65
cds3309	0	3	9	12	2	28
cds331	10	6	99	11	20	58
cds3310	0	0	0	0	0	20
cds3311	1	1	25	6	4	63
cds3312	30	26	1095	2057	83	5011
cds3313	2	4	56	116	3	184
cds3314	1	0	11	7	0	107
cds3315	74	58	630	1258	134	4042
cds3316	2	1	17	7	4	43
cds3317	5	17	117	87	26	200
cds3318	25	58	79	110	95	470
cds3319	554	559	426	207	868	967
cds332	0	2	0	4	0	16
cds3320	786	737	560	340	802	796
cds3321	19	7	29	27	33	24
cds3322	0	1	0	6	3	0
cds3323	810	665	346	266	1176	966
cds3324	37	30	1	0	66	34
cds3325	43	35	26	11	65	33
cds3326	28	24	59	41	51	66
cds3327	4	5	0	0	20	40
cds3328	20	6	12	2	25	109
cds3329	9	16	146	116	28	131
cds333	12	3	37	8	22	18
cds3330	1	0	65	4	2	55
cds3331	15	18	0	3	33	30
cds3332	21	21	50	14	26	58
cds3333	8	13	10	14	11	28
cds3334	2	3	135	93	16	76
cds3335	1	2	162	8	30	175
cds3336	1	3	22	4	17	36
cds3337	4	2	0	3	14	42
cds3338	13	24	0	27	21	61
cds3339	1	6	28	18	23	44
cds334	439	365	690	326	518	1310
cds3340	45	31	117	69	101	186
cds3341	6	10	23	27	18	45
cds3342	6	5	26	7	17	49
cds3343	7	14	29	42	43	158
cds3344	47	20	178	126	99	374
cds3345	7	28	97	86	52	198
cds3346	74	87	48	96	170	365
cds3347	3	0	73	23	3	30
cds3348	6	5	31	23	21	114
cds3349	3	3	36	24	11	47
cds335	69	58	96	10	82	106
cds3350	2	0	0	31	1	56
cds3351	7	0	0	17	6	16
cds3352	1	2	0	6	5	13
cds3353	0	1	80	40	2	91
cds3354	5	11	58	66	16	125
cds3355	0	0	33	244	3	562
cds3356	20	8	79	61	24	45
cds3357	6	2	0	16	1	40
cds3358	4	0	63	7	0	8
cds3359	58	39	69	22	83	155
cds336	11	20	73	23	23	87
cds3360	165	141	386	66	418	602
cds3361	2	0	0	0	1	29
cds3362	0	0	46	21	1	9
cds3363	0	0	27	0	3	20
cds3364	3	3	18	6	2	34
cds3365	3	0	63	56	2	110
cds3366	0	4	31	5	9	45
cds3367	2	1	0	5	2	47
cds3368	0	1	42	0	4	14
cds3369	0	5	10	4	1	36
cds337	17	26	217	43	42	543
cds3370	8	5	63	20	11	122
cds3371	13	12	119	43	52	116
cds3372	11	6	0	19	14	99
cds3373	0	2	86	210	0	348
cds3374	39	69	44	102	96	341
cds3375	9	4	1	6	21	55
cds3376	40	28	61	25	106	144
cds3377	280	437	76	10	764	36
cds3378	14	7	2	17	16	156
cds3379	50	50	27	22	69	166
cds338	1	0	92	84	14	537
cds3380	13	21	80	95	41	308
cds3381	2	1	0	21	2	67
cds3382	21	18	6	83	51	112
cds3383	6	4	17	15	16	79
cds3384	4	8	0	4	18	11
cds3385	4	11	0	17	10	11
cds3386	16	11	0	9	21	20
cds3387	10	5	0	2	21	29
cds3388	2	5	0	7	8	9
cds3389	18	23	44	11	26	88
cds339	2	0	16	37	5	101
cds3390	4	2	0	22	7	66
cds3391	3	4	41	32	0	49
cds3392	5	5	0	6	8	47
cds3393	3	2	0	0	15	23
cds3394	3	0	35	20	1	19
cds3395	72	100	970	970	271	1689
cds3396	23	28	5	60	39	121
cds3397	3	7	112	106	27	179
cds3398	32	40	222	210	43	233
cds3399	4	3	71	68	8	166
cds34	15	5	27	29	10	92
cds340	0	0	0	0	0	0
cds3400	0	2	8	22	2	252
cds3401	0	1	78	59	2	141
cds3402	12	8	65	70	20	132
cds3403	2	3	40	16	16	112
cds3404	1	0	0	5	1	1
cds3405	78	67	451	154	152	771
cds3406	9	15	73	51	45	320
cds3407	4	6	26	228	1	266
cds3408	0	0	0	2	0	11
cds3409	0	0	106	106	0	638
cds341	1	0	20	17	3	18
cds3410	0	0	48	2	0	65
cds3411	4	3	64	60	21	163
cds3412	26	31	48	116	50	307
cds3413	0	1	389	351	1	1096
cds3414	0	0	18	5	0	0
cds3415	0	0	0	0	1	10
cds3416	0	0	10	13	0	112
cds3417	0	0	150	199	1	305
cds3418	0	0	64	37	0	84
cds3419	3	0	178	223	2	2829
cds342	0	1	4	11	0	8
cds3420	0	0	99	78	0	604
cds3421	1	2	710	1594	7	3706
cds3422	3	2	0	29	4	8
cds3423	0	3	1074	1233	6	3641
cds3424	7	10	36	16	22	83
cds3425	7	9	11	14	19	96
cds3426	11	27	75	17	60	49
cds3427	9	3	0	9	14	38
cds3428	7	2	44	56	12	100
cds3429	11	18	92	54	39	255
cds343	0	3	0	0	1	0
cds3430	5	8	10	54	17	130
cds3431	0	0	13	2	0	5
cds3432	3	0	0	2	0	6
cds3433	5	3	0	4	14	17
cds3434	10	3	66	18	23	38
cds3435	1	0	71	32	3	235
cds3436	34	25	339	172	62	421
cds3437	1	4	19	2	5	29
cds3438	0	0	29	0	1	2
cds3439	1	2	13	14	3	120
cds344	828	527	448	139	1618	435
cds3440	8	11	41	76	19	149
cds3441	116	119	938	1106	175	2942
cds3442	7	2	34	6	12	15
cds3443	33	42	177	196	52	290
cds3444	0	0	8	18	0	50
cds3445	0	0	0	13	0	25
cds3446	4	9	148	71	16	131
cds3447	14	28	363	152	63	583
cds3448	0	1	10	9	1	87
cds3449	0	1	0	10	0	30
cds345	287	242	220	108	655	486
cds3450	0	0	0	0	0	19
cds3451	55	63	404	209	117	510
cds3452	0	0	0	7	3	21
cds3453	1	0	19	0	1	0
cds3454	5	7	33	11	18	51
cds3455	9	7	32	8	14	19
cds3456	772	665	462	227	1248	904
cds3457	43	63	249	98	169	510
cds3458	135	94	67	35	181	60
cds3459	6	0	25	5	3	21
cds346	13	16	0	0	25	8
cds3460	2	5	21	67	1	279
cds3461	152	141	97	51	305	176
cds3462	0	4	0	0	2	0
cds3463	1	4	0	5	15	84
cds3464	1	2	13	162	4	91
cds3465	24	21	225	123	87	737
cds3466	48	28	285	215	87	570
cds3467	6	11	97	99	31	163
cds3468	1	0	29	29	0	28
cds3469	2	1	15	5	12	115
cds347	11	19	0	7	22	27
cds3470	0	1	47	108	0	124
cds3471	717	765	793	445	934	1505
cds3472	182	151	304	96	312	389
cds3473	80	72	96	64	143	265
cds3474	125	96	66	63	173	149
cds3475	26	22	31	8	29	89
cds3476	59	49	150	70	73	257
cds3477	36	36	25	0	63	37
cds3478	19	27	28	1	66	81
cds3479	300	270	347	155	422	502
cds348	9	24	548	241	21	646
cds3480	15	33	37	23	50	54
cds3481	75	70	124	88	198	504
cds3482	41	40	134	49	103	246
cds3483	1	1	43	0	8	39
cds3484	6	2	2	20	4	39
cds3485	1	0	0	0	4	10
cds3486	0	3	47	0	2	23
cds3487	9	1	67	9	7	59
cds3488	1	5	23	28	10	71
cds3489	3	2	0	11	7	44
cds349	31	33	328	298	67	1814
cds3490	11	9	2	5	11	1
cds3491	48	70	99	88	126	247
cds3492	24	25	3	12	61	45
cds3493	30	42	64	51	45	53
cds3494	28	26	386	141	123	323
cds3495	40	45	263	407	135	1032
cds3496	6	14	40	24	19	113
cds3497	4	5	13	8	7	104
cds3498	19	11	115	52	27	136
cds3499	0	2	0	10	1	47
cds35	8	7	0	38	20	67
cds350	1	0	12	9	2	79
cds3500	3	0	49	1	3	5
cds3501	4	0	0	15	4	39
cds3502	6	9	150	233	31	524
cds3503	19	23	286	226	56	1098
cds3504	1	6	0	68	14	228
cds3505	1	1	29	14	7	68
cds3506	321	249	329	319	493	671
cds3507	15	5	0	7	4	8
cds3508	8	7	56	8	10	10
cds3509	21	35	27	21	76	170
cds351	7	2	0	5	12	30
cds3510	19	23	6	28	50	153
cds3511	255	258	312	193	421	929
cds3512	84	71	57	98	159	352
cds3513	64	38	243	266	107	758
cds3514	1	1	26	31	10	129
cds3515	26	32	46	84	85	258
cds3516	17	8	67	29	35	134
cds3517	1	2	0	20	13	7
cds3518	63	47	46	104	162	186
cds3519	0	0	55	0	1	6
cds352	23	24	115	77	38	213
cds3520	0	0	0	22	0	19
cds3521	3	1	110	72	2	185
cds3522	3	4	0	4	3	5
cds3523	108	90	20	17	137	39
cds3524	197	176	62	34	400	289
cds3525	128	95	31	7	193	53
cds3526	91	187	1720	1864	343	7097
cds3527	56	56	144	50	128	296
cds3528	14	20	330	125	70	352
cds3529	41	33	184	182	110	586
cds353	4	3	0	3	9	22
cds3530	5	16	67	20	10	98
cds3531	47	52	140	87	123	446
cds3532	9	9	14	9	13	59
cds3533	35	21	252	105	125	470
cds3534	13	7	38	31	34	87
cds3535	4	1	51	42	9	53
cds3536	72	59	151	86	133	418
cds3537	2	10	52	5	3	16
cds3538	0	0	0	0	4	1
cds3539	8	8	48	0	25	39
cds354	3	5	25	22	28	52
cds3540	3	14	28	11	17	45
cds3541	38	41	0	16	59	76
cds3542	0	0	0	0	0	30
cds3543	63	47	176	160	74	339
cds3544	244	217	396	557	513	1457
cds3545	15	23	0	17	46	51
cds3546	4	4	0	39	7	172
cds3547	4	3	27	22	12	79
cds3548	7	2	38	22	20	105
cds3549	0	0	0	22	4	31
cds355	81	78	87	233	192	926
cds3550	1	1	36	0	5	21
cds3551	146	142	100	97	363	339
cds3552	110	50	15	62	165	169
cds3553	10	13	34	16	23	80
cds3554	0	1	0	4	0	4
cds3555	0	0	0	0	0	10
cds3556	40	29	37	28	70	52
cds3557	0	1	5	12	0	15
cds3558	1	1	0	8	3	5
cds3559	0	0	40	25	1	88
cds356	27	35	381	227	60	693
cds3560	0	0	31	0	0	17
cds3561	0	0	0	0	0	29
cds3562	0	0	33	7	1	87
cds3563	0	0	29	37	0	87
cds3564	23	22	65	58	54	140
cds3565	21	36	127	79	34	229
cds3566	77	39	146	80	124	287
cds3567	1	2	64	35	8	54
cds3568	1	0	18	8	1	30
cds3569	0	0	0	8	0	7
cds357	3	9	12	17	12	141
cds3570	2	5	55	12	14	39
cds3571	6	10	51	31	23	46
cds3572	6	4	21	16	17	71
cds3573	4	1	32	24	9	61
cds3574	0	0	39	3	3	25
cds3575	1	1	0	9	0	5
cds3576	2	4	19	28	1	33
cds3577	0	6	50	17	1	47
cds3578	1	1	27	7	2	7
cds3579	19	13	81	98	40	247
cds358	18	17	148	54	48	114
cds3580	6	3	85	34	10	69
cds3581	4	7	26	10	16	47
cds3582	2	2	73	20	6	39
cds3583	23	21	12	86	32	74
cds3584	1	2	12	4	7	62
cds3585	0	2	42	21	5	64
cds3586	4	4	19	12	14	69
cds3587	1	0	0	10	0	24
cds3588	6	6	241	256	10	478
cds3589	3	0	50	31	3	65
cds359	0	0	14	0	0	0
cds3590	6	6	234	179	11	423
cds3591	8	5	71	63	15	216
cds3592	0	0	0	0	0	0
cds3593	6	5	31	64	11	175
cds3594	6	0	2	3	5	65
cds3595	0	0	0	0	0	0
cds3596	0	0	24	0	2	17
cds3597	19	20	59	74	41	119
cds3598	6	9	109	51	23	200
cds3599	2519	2286	474	380	4921	1640
cds36	24	9	0	3	49	61
cds360	3	4	73	31	16	64
cds3600	22	31	63	93	92	166
cds3601	0	1	0	7	8	6
cds3602	0	9	0	9	8	25
cds3603	5	10	56	15	10	75
cds3604	11	6	32	34	28	131
cds3605	1	1	25	25	14	30
cds3606	11	8	0	27	31	101
cds3607	10	2	0	38	18	69
cds3608	13	8	64	32	26	125
cds3609	10	12	72	13	20	51
cds361	5	10	74	37	18	161
cds3610	41	32	161	72	84	95
cds3611	0	0	26	0	2	4
cds3612	42	21	15	36	37	12
cds3613	101	126	56	122	200	134
cds3614	73	79	172	128	163	456
cds3615	39	17	45	17	36	37
cds3616	40	18	119	24	33	167
cds3617	7	13	0	0	6	20
cds3618	14	11	0	16	15	78
cds3619	40	42	16	23	84	67
cds362	2	3	45	19	2	38
cds3620	37	51	23	68	71	93
cds3621	52	31	285	175	83	552
cds3622	5	7	0	11	38	103
cds3623	10	9	13	25	27	84
cds3624	114	80	116	127	198	248
cds3625	2	7	16	0	17	15
cds3626	0	3	0	14	4	8
cds3627	28	48	350	343	107	739
cds3628	349	347	678	697	651	2361
cds3629	102	61	56	125	121	419
cds363	8	10	24	8	15	53
cds3630	4	3	0	14	5	19
cds3631	18	16	17	19	32	50
cds3632	0	2	19	0	3	0
cds3633	1	4	0	0	13	41
cds3634	5	20	305	206	45	722
cds3635	22	57	276	251	77	674
cds3636	31	34	219	74	58	247
cds3637	49	32	138	154	134	311
cds3638	144	120	587	380	271	1371
cds3639	113	71	371	241	165	727
cds364	8	15	98	75	38	280
cds3640	1	0	0	0	2	41
cds3641	241	200	2722	1569	379	2997
cds3642	4	9	104	352	11	846
cds3643	294	226	74	53	528	439
cds3644	392	284	98	144	737	292
cds3645	287	475	7787	5810	954	16758
cds3646	72	79	826	327	185	763
cds3647	3	16	174	87	58	178
cds3648	0	0	30	0	4	31
cds3649	0	0	20	15	0	23
cds365	20	18	203	69	40	366
cds3650	0	0	33	0	0	8
cds3651	0	0	0	8	0	9
cds3652	11	5	14	12	31	38
cds3653	33	19	0	5	43	19
cds3654	100	126	127	71	200	196
cds3655	34	23	221	101	79	293
cds3656	17	14	50	30	28	110
cds3657	10	12	0	9	32	60
cds3658	1	3	2	8	6	24
cds3659	8	0	0	11	11	16
cds366	4	4	62	39	10	59
cds3660	4	0	0	25	5	20
cds3661	4	9	25	3	14	86
cds3662	0	0	12	6	0	16
cds3663	0	2	23	24	5	51
cds3664	9	6	21	0	14	30
cds3665	0	0	0	0	0	19
cds3666	4	4	0	3	2	33
cds3667	8	1	0	0	17	18
cds3668	7	5	24	18	21	68
cds3669	12	49	391	229	89	495
cds367	10	12	10	12	16	60
cds3670	132	148	132	21	253	197
cds3671	5	20	145	91	43	676
cds3672	124	100	126	41	184	172
cds3673	55	38	41	15	124	297
cds3674	14	22	33	8	56	46
cds3675	15	11	21	5	59	49
cds3676	16	27	106	2	52	135
cds3677	4	6	26	0	32	18
cds3678	208	245	226	51	368	682
cds3679	26	17	10	1	48	55
cds368	0	0	45	18	7	120
cds3680	164	131	199	73	261	412
cds3681	16	4	133	59	31	153
cds3682	3	1	76	24	8	118
cds3683	21	29	50	18	44	195
cds3684	1	3	9	14	0	10
cds3685	735	745	913	1055	875	2047
cds3686	149	107	117	129	251	437
cds3687	40	44	140	54	73	240
cds3688	3	3	0	17	10	12
cds3689	23	44	139	84	83	533
cds369	41	53	39	59	122	166
cds3690	244	218	87	58	337	118
cds3691	120	110	292	210	257	621
cds3692	16	10	291	580	15	1783
cds3693	63	70	209	150	127	212
cds3694	3	1	63	185	8	373
cds3695	11	14	260	101	30	573
cds3696	0	0	0	0	4	9
cds3697	8	17	25	11	55	60
cds3698	1	0	106	10	2	7
cds3699	6	5	777	136	33	144
cds37	7	13	0	4	36	84
cds370	2	0	25	7	0	21
cds3700	3	1	91	22	14	21
cds3701	4	3	372	38	19	172
cds3702	2	1	14	0	0	4
cds3703	61	45	494	95	157	212
cds3704	16	25	40	2	106	50
cds3705	3	9	40	5	25	28
cds3706	20	12	21	18	22	71
cds3707	7	2	56	4	12	39
cds3708	164	170	212	95	286	390
cds3709	33	48	75	23	61	91
cds371	32	27	72	5	87	50
cds3710	24	33	40	34	75	224
cds3711	457	405	274	208	517	997
cds3712	0	4	0	14	4	33
cds3713	35	50	235	36	186	74
cds3714	0	0	0	0	0	14
cds3715	44	39	97	19	99	54
cds3716	33	22	28	53	50	46
cds3717	4	2	0	34	13	19
cds3718	74	118	257	145	170	354
cds3719	37	48	60	35	124	133
cds372	184	243	1041	647	569	2023
cds3720	17	12	27	16	41	38
cds3721	0	0	0	0	1	6
cds3722	0	0	0	0	2	23
cds3723	32	36	73	47	71	153
cds3724	115	154	540	299	225	1114
cds3725	166	138	179	132	231	407
cds3726	0	2	0	1	1	29
cds3727	3	2	8	2	2	9
cds3728	2	12	92	42	30	405
cds3729	76	66	91	91	86	213
cds373	139	124	329	160	206	480
cds3730	62	35	87	74	111	138
cds3731	38	30	21	32	80	89
cds3732	0	0	0	0	1	0
cds3733	2	0	24	10	3	10
cds3734	221	194	12	23	286	130
cds3735	54	41	46	7	77	28
cds3736	40	35	22	0	49	59
cds3737	0	0	0	0	0	0
cds3738	40	41	49	93	131	142
cds3739	29	36	26	49	61	46
cds374	149	120	149	84	133	238
cds3740	6	6	17	0	19	36
cds3741	0	0	0	0	0	37
cds3742	5	3	59	7	17	63
cds3743	11	3	76	35	14	76
cds3744	2	1	1	0	1	0
cds3745	6	1	5	9	7	48
cds3746	3	15	62	13	9	12
cds3747	21	34	283	117	84	336
cds3748	51	33	204	130	86	349
cds3749	0	0	0	0	1	9
cds375	16	9	9	25	11	70
cds3750	0	4	94	22	0	18
cds3751	0	0	0	0	1	60
cds3752	0	0	0	0	0	16
cds3753	3	0	0	6	0	39
cds3754	45	49	50	56	180	196
cds3755	125	92	241	183	240	352
cds3756	16	17	120	22	36	217
cds3757	0	1	26	35	11	53
cds3758	15	22	67	93	34	144
cds3759	5	11	177	81	38	231
cds376	7	4	2	16	24	96
cds3760	1	1	39	0	0	18
cds3761	126	98	46	11	154	28
cds3762	0	4	153	94	1	112
cds3763	8	10	33	22	11	51
cds3764	17	9	52	22	41	71
cds3765	144	147	243	139	254	247
cds3766	374	290	324	221	618	620
cds3767	38	21	55	21	54	73
cds3768	9	16	15	10	13	7
cds3769	5	7	76	112	24	354
cds377	305	252	139	29	506	306
cds3770	0	0	0	6	1	5
cds3771	0	1	43	36	1	92
cds3772	1	1	194	111	3	184
cds3773	52	42	259	139	127	251
cds3774	6	0	23	8	28	53
cds3775	17	26	24	0	49	53
cds3776	15	20	14	6	43	132
cds3777	27	19	39	39	42	91
cds3778	33	36	15	9	93	38
cds3779	26	35	32	18	62	8
cds378	15	9	99	68	34	242
cds3780	214	168	486	89	283	311
cds3781	16	11	16	27	21	217
cds3782	3	5	17	0	14	23
cds3783	62	49	137	82	92	470
cds3784	34	40	31	48	75	214
cds3785	14	13	150	67	68	214
cds3786	11	12	19	33	23	155
cds3787	7	5	25	61	13	173
cds3788	3	4	42	68	10	205
cds3789	437	380	2927	2044	816	3037
cds379	9	14	201	128	26	576
cds3790	8	3	41	27	18	85
cds3791	2	1	15	6	9	37
cds3792	16	14	19	25	54	45
cds3793	24	32	83	50	72	133
cds3794	9	9	50	67	12	277
cds3795	14	41	108	82	125	243
cds3796	8	8	21	0	18	44
cds3797	0	0	0	0	0	0
cds3798	0	3	177	144	9	586
cds3799	81	52	34	50	201	112
cds38	0	0	0	0	16	44
cds380	0	3	64	10	14	4
cds3800	20	13	43	2	56	10
cds3801	41	58	177	171	119	536
cds3802	74	45	326	161	112	357
cds3803	0	0	23	47	0	82
cds3804	17	37	767	220	81	282
cds3805	4	10	181	46	11	111
cds3806	3	0	0	0	3	1
cds3807	8	9	25	65	30	370
cds3808	36	31	108	46	76	91
cds3809	881	690	182	131	1457	720
cds381	4	7	106	9	40	44
cds3810	4	8	89	54	13	183
cds3811	61	48	109	67	154	156
cds3812	1	7	0	0	5	11
cds3813	7	1	0	22	1	10
cds3814	2	4	29	15	3	19
cds3815	1	5	0	2	15	43
cds3816	1	2	18	3	15	61
cds3817	11	10	14	17	9	48
cds3818	1	1	44	11	1	59
cds3819	1	0	26	0	2	15
cds382	5	2	18	4	25	10
cds3820	18	11	81	431	48	550
cds3821	47	53	247	51	94	254
cds3822	15	12	0	7	16	43
cds3823	3	17	44	2	8	164
cds3824	9	29	141	116	44	260
cds3825	9	4	99	10	8	8
cds3826	4	2	558	965	6	2816
cds3827	158	151	29	62	384	235
cds3828	252	205	182	69	393	264
cds3829	0	0	0	6	6	6
cds383	2	0	0	18	0	18
cds3830	422	323	634	447	419	711
cds3831	0	0	20	4	5	49
cds3832	0	0	0	6	2	34
cds3833	18	38	442	141	37	402
cds3834	28	17	79	46	19	190
cds3835	9	3	0	0	10	14
cds3836	0	6	60	9	9	67
cds3837	1	6	0	0	6	61
cds3838	2	2	0	5	8	46
cds3839	5	5	0	2	1	31
cds384	0	2	0	6	1	13
cds3840	16	10	2	4	15	90
cds3841	1	1	16	20	4	32
cds3842	2	2	27	21	3	52
cds3843	4	3	55	3	3	37
cds3844	6	0	34	23	8	109
cds3845	54	40	225	107	119	556
cds3846	9	8	85	37	35	138
cds3847	1297	1187	399	382	2555	1396
cds3848	0	1	79	55	5	234
cds3849	2	22	497	494	76	869
cds385	0	0	0	22	4	13
cds3850	6	0	5	111	7	224
cds3851	28	21	408	357	31	1505
cds3852	28	23	177	272	72	638
cds3853	1	1	275	117	12	705
cds3854	8	33	182	103	68	428
cds3855	8	13	75	70	29	136
cds3856	191	147	105	103	158	439
cds3857	47	39	43	22	90	96
cds3858	112	111	33	33	140	105
cds3859	92	74	111	51	160	206
cds386	0	0	0	0	2	3
cds3860	46	29	17	0	37	39
cds3861	7	0	0	0	5	0
cds3862	0	2	0	13	4	70
cds3863	2	11	174	109	21	310
cds3864	0	2	15	12	3	23
cds3865	101	141	124	135	307	484
cds3866	0	1	0	2	1	19
cds3867	42	32	287	104	69	373
cds3868	2	4	0	0	5	19
cds3869	8	7	36	19	39	45
cds387	362	316	189	104	647	395
cds3870	126	109	75	51	204	265
cds3871	186	172	188	136	350	351
cds3872	1404	1022	1819	718	1584	2302
cds3873	46	18	33	57	69	151
cds3874	0	3	17	18	2	62
cds3875	10	18	43	41	24	177
cds3876	0	0	0	0	0	0
cds3877	8	6	35	19	28	92
cds3878	9	33	36	5	66	106
cds3879	5	2	0	0	14	16
cds388	21	24	76	47	56	197
cds3880	34	40	166	25	110	327
cds3881	0	0	23	32	3	40
cds3882	0	0	31	0	1	52
cds3883	0	0	0	2	1	5
cds3884	0	0	0	26	3	32
cds3885	0	3	0	7	3	14
cds3886	0	3	0	0	3	1
cds3887	256	297	750	697	501	1670
cds3888	0	0	198	373	0	904
cds3889	0	0	18	0	0	22
cds389	18	4	10	19	26	47
cds3890	0	0	17	43	0	70
cds3891	0	0	0	0	0	21
cds3892	0	1	0	10	2	18
cds3893	30	43	92	76	91	107
cds3894	24	29	66	25	45	112
cds3895	9	2	0	2	8	41
cds3896	73	56	62	17	158	132
cds3897	0	2	451	564	11	2673
cds3898	0	1	224	343	5	1144
cds3899	31	92	377	230	184	845
cds39	26	43	44	41	74	116
cds390	132	120	85	46	284	420
cds3900	43	32	265	109	86	279
cds3901	41	24	306	193	110	382
cds3902	8	20	4524	5486	58	16034
cds3903	9	6	2329	2087	19	7219
cds3904	1	0	415	385	1	1246
cds3905	0	0	168	329	2	430
cds3906	2	2	165	283	5	1420
cds3907	216	168	100	94	278	224
cds3908	2	3	72	32	7	109
cds3909	0	0	27	15	0	14
cds391	82	39	111	122	72	82
cds3910	1	2	12	9	7	62
cds3911	2	3	18	1	5	35
cds3912	0	4	0	0	3	51
cds3913	1	3	25	4	13	64
cds3914	0	0	27	5	3	29
cds3915	0	5	6	34	11	91
cds3916	76	38	96	68	93	100
cds3917	14	18	116	107	32	190
cds3918	7	3	6	35	13	66
cds3919	8	21	77	18	46	61
cds392	15	22	45	76	32	497
cds3920	85	99	57	23	153	25
cds3921	145	195	362	21	353	104
cds3922	551	654	118	29	984	100
cds3923	8	2	28	4	5	70
