	L176_col_1	L176_vitro_1	L176_vitro_2	L176_vitro_3	L176_col_2	L176_col_3
cds1312	771	2813	2931	3247	1855	2059
cds1313	13	44	49	24	5	23
cds1314	346	1233	1621	714	364	445
cds1315	98	139	124	42	76	94
cds1316	2	35	29	10	7	2
cds1317	19	108	142	74	25	14
cds1318	34	194	168	112	39	22
cds1319	87	93	87	72	162	191
cds132	179	882	606	309	260	365
cds1320	396	558	230	117	418	594
cds1321	87	148	52	37	113	158
cds1322	12	10	6	1	8	5
cds1323	45	60	21	21	22	27
cds1324	9	3	9	8	50	12
cds1325	683	1130	704	265	545	939
cds1326	85	19	22	14	51	22
cds1327	99	82	56	35	91	111
cds1328	69	247	163	78	77	97
cds1329	170	222	202	160	151	179
cds133	65	556	800	327	50	150
cds1330	634	287	157	88	320	443
cds1331	134	52	32	19	64	99
cds1332	19	53	39	41	9	30
cds1333	153	723	745	397	124	257
cds1334	79	304	253	212	48	68
cds1335	35	48	8	17	28	25
cds1336	255	637	570	365	201	192
cds1337	135	363	343	213	69	142
cds1338	398	945	708	517	522	511
cds1339	132	651	552	291	85	166
cds134	291	927	676	360	164	181
cds1340	40	33	4	4	28	50
cds1341	78	127	139	63	106	178
cds1342	118	338	207	92	126	130
cds1343	1062	1173	131	63	911	1215
cds1344	292	455	22	15	209	321
cds1345	286	435	58	17	417	661
cds1346	25	27	23	8	18	14
cds1347	21	35	17	18	20	5
cds1348	52	205	197	115	53	63
cds1349	362	517	339	223	330	280
cds135	4	0	0	0	3	0
cds1350	414	961	825	377	322	480
cds1351	130	177	106	67	180	171
cds1352	10	16	3	8	36	7
cds1353	6	10	3	3	12	25
cds1354	251	100	92	95	198	232
cds1355	20	16	21	7	14	9
cds1356	20	22	18	16	7	13
cds1357	21	117	70	38	2	9
cds1358	293	1632	1567	1032	231	380
cds1359	8	91	58	44	16	27
cds136	1016	107	120	115	890	437
cds1360	5	30	47	10	1	9
cds1361	208	279	265	147	136	159
cds1362	0	0	0	0	0	0
cds1363	56	591	574	389	59	64
cds1364	69	686	728	383	54	84
cds1365	106	1116	928	541	51	85
cds1366	7	59	30	25	11	10
cds1367	163	566	570	250	122	146
cds1368	91	484	437	259	77	68
cds1369	250	423	2160	1046	272	437
cds137	315	28	24	10	490	181
cds1370	11	12	15	14	0	5
cds1371	0	0	0	2	3	2
cds1372	533	355	168	50	749	754
cds1373	617	392	131	98	665	700
cds1374	385	618	262	150	979	1107
cds1375	2411	199	219	171	2649	1136
cds1376	248	140	167	82	194	185
cds1377	1820	1282	1334	762	1681	1819
cds1378	138	1118	888	539	138	205
cds1379	26	198	112	75	24	11
cds138	292	3356	3225	1415	153	279
cds1380	175	1033	810	403	148	159
cds1381	467	1048	619	342	211	334
cds1382	11	15	5	11	5	22
cds1383	10	22	35	32	0	10
cds1384	13	76	34	47	15	28
cds1385	7	18	9	3	26	18
cds1386	77	36	23	16	114	48
cds1387	11	7	4	4	5	0
cds1388	80	129	72	69	54	64
cds1389	63	58	23	51	96	103
cds139	15	40	39	15	17	17
cds1390	12	12	23	8	59	3
cds1391	8	11	4	2	16	8
cds1392	160	374	387	171	145	130
cds1393	119	4436	1272	484	75	56
cds1394	151	5947	1625	684	272	358
cds1395	81	2009	558	200	75	117
cds1396	1	245	74	53	6	17
cds1397	128	457	199	126	69	81
cds1398	17	219	132	61	34	41
cds1399	22	227	168	89	32	47
cds14	3975	4530	2128	1614	3363	3937
cds140	104	43	43	19	121	168
cds1400	11	58	36	38	14	37
cds1401	16	20	7	8	0	17
cds1402	5	12	26	8	5	9
cds1403	10	16	11	8	6	13
cds1404	10	5	6	1	6	0
cds1405	32	22	34	8	1	8
cds1406	4	0	2	5	5	17
cds1407	3	4	18	1	0	0
cds1408	17	25	2	3	27	18
cds1409	0	1	5	0	0	6
cds141	15	45	45	20	15	20
cds1410	27	17	23	3	0	11
cds1411	8	0	0	7	0	1
cds1412	0	6	7	7	2	0
cds1413	1	8	8	3	10	5
cds1414	308	341	371	156	331	304
cds1415	35	87	46	41	27	73
cds1416	67	219	186	98	45	54
cds1417	54	267	132	102	37	100
cds1418	42	46	17	22	13	46
cds1419	4	5	2	7	6	10
cds142	124	2870	1014	487	112	153
cds1420	3	11	18	12	7	9
cds1421	23	67	52	66	25	33
cds1422	201	40	96	45	207	92
cds1423	250	150	126	51	144	312
cds1424	1	5	12	7	1	14
cds1425	6	3	1	2	3	12
cds1426	67	33	9	9	30	49
cds1427	6	13	8	3	4	0
cds1428	16	16	9	10	21	27
cds1429	24	2	7	4	16	36
cds143	1952	50791	29661	14621	1250	2354
cds1430	2	3	2	1	15	8
