	L187_col_1	L187_col_2	L187_vitro_1	L187_vitro_2	L187_vitro_3	L187_col_3
cds1429	0	0	547	5	14	0
cds143	0	3	12	5	55	0
cds1430	2	32	1101	5	36	1
cds1431	1	7	7	8	41	8
cds1432	4	10	84	28	120	14
cds1433	2	24	82	24	110	6
cds1434	0	0	0	1	2	0
cds1435	0	0	2	1	5	0
cds1436	0	0	4	6	16	0
cds1437	0	0	8	4	33	0
cds1438	0	7	15	13	36	6
cds1439	0	4	13	11	43	1
cds144	2	0	61	17	131	7
cds1440	1	4	17	8	55	1
cds1441	0	0	11	9	48	0
cds1442	0	0	8	6	26	7
cds1443	8	49	34	25	98	69
cds1444	0	0	2	3	6	0
cds1445	1	6	54	25	113	9
cds1446	0	11	10	4	17	0
cds1447	1	0	9	3	17	5
cds1448	0	0	6	9	22	0
cds1449	0	0	7	1	9	0
cds145	41	270	610	466	2315	205
cds1450	0	0	2	3	5	0
cds1451	0	0	1	1	18	0
cds1452	8	57	52	43	169	66
cds1453	0	4	6	8	40	3
cds1454	0	0	4	1	3	0
cds1455	0	11	20	31	127	8
cds1456	1	0	16	18	77	0
cds1457	0	8	59	59	234	0
cds1458	0	0	0	0	1	0
cds1459	0	0	5	3	3	0
cds146	5	8	56	49	182	9
cds1460	1	8	12	11	18	0
cds1461	9	23	49	30	66	26
cds1462	3	6	28	8	25	27
cds1463	0	1	13	6	44	9
cds1464	0	0	12	9	24	0
cds1465	4	11	44	8	61	16
cds1466	5	39	96	47	247	5
cds1467	0	0	10	8	14	13
cds1468	0	0	0	0	4	0
cds1469	1	10	21	2	34	0
cds147	0	6	102	53	237	5
cds1470	0	6	11	6	11	4
cds1471	2	36	31	6	76	21
cds1472	12	41	276	88	362	95
cds1473	1	51	70	17	61	37
cds1474	2	28	42	14	29	9
cds1475	12	38	122	30	179	44
cds1476	0	6	60	16	101	0
cds1477	13	30	171	56	324	26
cds1478	1	25	39	28	73	2
cds1479	12	30	40	18	102	16
cds148	2	2	39	27	75	7
cds1480	0	5	12	1	15	3
cds1481	2	6	5	0	8	0
cds1482	6	10	9	2	5	7
cds1483	0	0	0	0	3	0
cds1484	0	0	0	2	5	0
cds1485	0	2	10	6	16	9
cds1486	0	0	5	0	9	0
cds1487	10	20	39	17	27	0
cds1488	0	0	0	0	0	0
cds1489	0	7	15	1	13	12
cds149	13	150	889	484	1966	160
cds1490	0	0	0	2	0	0
cds1491	10	41	149	33	117	23
cds1492	13	25	73	23	70	42
cds1493	0	8	8	1	7	0
cds1494	0	0	8	2	24	0
cds1495	2	3	23	6	22	3
cds1496	2	5	36	2	32	4
cds1497	4	10	12	5	27	5
cds1498	7	58	135	106	348	32
cds1499	28	103	103	81	192	38
cds15	0	0	2	1	7	0
cds150	13	73	316	161	676	62
cds1500	0	0	1	1	0	6
cds1501	1	0	0	3	4	0
cds1502	0	0	0	0	1	0
cds1503	3	21	18	8	46	0
cds1504	0	2	1	0	2	0
cds1505	0	0	3	0	7	0
cds1506	0	5	7	3	13	0
cds1507	0	4	47	30	101	0
cds1508	0	0	9	5	35	0
cds1509	0	0	3	2	20	0
cds151	3	2	57	27	74	5
cds1510	0	0	1	1	7	1
cds1511	0	0	2	0	9	0
cds1512	1	0	37	5	37	0
cds1513	0	0	5	6	22	2
cds1514	0	0	3	2	1	0
cds1515	14	23	125	45	170	25
cds1516	0	6	31	20	74	12
cds1517	0	2	1	2	13	3
cds1518	0	0	1	0	9	0
cds1519	4	28	71	55	263	10
cds152	3	5	35	8	65	15
cds1520	10	20	32	7	36	16
cds1521	0	2	25	6	53	0
cds1522	3	0	7	6	18	0
cds1523	0	12	3	6	23	0
cds1524	3	0	28	13	81	0
cds1525	1	10	26	16	56	0
cds1526	3	6	44	17	98	10
cds1527	20	81	68	9	46	69
cds1528	2	9	45	6	25	12
cds1529	0	0	8	2	21	0
cds153	1	0	38	44	147	8
cds1530	1	9	18	7	45	7
cds1531	4	25	26	20	51	7
cds1532	1	3	88	50	208	7
cds1533	0	0	22	17	32	0
cds1534	0	0	6	6	9	0
cds1535	0	2	11	7	61	0
cds1536	0	4	15	21	46	0
cds1537	0	0	18	7	23	6
cds1538	4	18	99	36	177	0
cds1539	0	0	10	0	8	0
cds154	3	27	43	32	163	20
cds1540	0	0	2	2	25	7
cds1541	0	0	38	18	136	0
cds1542	5	30	133	83	378	23
cds1543	7	2	33	10	36	0
cds1544	0	0	16	4	18	6
cds1545	0	0	11	5	9	0
cds1546	1	19	38	21	68	1
cds1547	0	3	22	5	16	0
cds1548	0	0	8	5	12	0
cds1549	0	0	1	0	4	0
cds155	5	29	204	100	546	3
cds1550	1	6	23	23	48	11
cds1551	0	0	0	0	1	0
cds1552	0	1	4	1	15	0
cds1553	4	9	142	100	393	11
cds1554	2	4	61	25	108	23
cds1555	1	11	10	14	69	3
cds1556	1	14	28	40	136	4
cds1557	7	17	133	159	836	17
cds1558	0	4	4	0	4	0
cds1559	4	38	43	9	56	23
cds156	5	41	193	66	427	1
cds1560	0	6	15	10	28	0
cds1561	0	1	9	2	12	0
cds1562	0	7	24	15	17	5
cds1563	5	6	38	8	50	17
cds1564	1	8	18	5	45	12
cds1565	4	31	134	82	251	37
cds1566	0	5	10	5	27	6
cds1567	0	0	9	9	26	17
cds1568	6	36	81	74	377	32
cds1569	0	0	66	48	269	28
cds157	16	86	210	137	630	39
cds1570	12	38	267	169	646	35
